SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
O3V,44900,4.652,-4.01,5.82,-9.81,13.43,-5.8,-0.33,-0.5616923076923078,-0.08900000000000002,-3.882,-2.316,-10.489999999999998,-0.133,-1.175,-0.12760000000000002,-0.43528571428571433,-1.1905714285714288,-0.1888571428571429,-0.08757142857142847,-4.600000000000001,-4.2522857142857164,0.010374999999999995,-0.045,-0.117,-0.07,-0.62,-20.19499999999999,-15.622307692307707,59.0
O4V,42900,4.632,-3.89,5.65,-9.39,12.13,-5.5,-0.326,-0.5334871794871796,-0.08233333333333334,-3.6620000000000004,-2.1826666666666665,-9.823333333333332,-0.133,-1.16,-0.1262666666666667,-0.42385714285714293,-1.157714285714286,-0.1845714285714286,-0.08471428571428563,-4.4,-4.070857142857145,0.01120833333333333,-0.045,-0.117,-0.07,-0.62,-19.19499999999999,-14.853076923076937,48.0
O5V,41400,4.617,-3.76,5.54,-9.11,11.45,-5.35,-0.323,-0.5123333333333334,-0.07733333333333334,-3.4970000000000003,-2.0826666666666664,-9.323333333333332,-0.133,-1.15,-0.1252666666666667,-0.4152857142857143,-1.1330714285714287,-0.18135714285714288,-0.08257142857142849,-4.250000000000001,-3.9347857142857157,0.011833333333333331,-0.045,-0.117,-0.07,-0.62,-18.44499999999999,-14.276153846153859,43.0
O5.5V,40500,4.607,-3.67,5.44,-8.87,10.71,-5.2,-0.322,-0.49964102564102575,-0.07433333333333333,-3.398,-2.0226666666666664,-9.023333333333332,-0.133,-1.145,-0.12466666666666668,-0.4101428571428572,-1.1182857142857143,-0.17942857142857144,-0.08128571428571421,-4.16,-3.8531428571428585,0.012208333333333331,-0.045,-0.117,-0.07,-0.62,-17.99499999999999,-13.930000000000012,38.0
O6V,39500,4.597,-3.57,5.36,-8.67,10.27,-5.1,-0.321,-0.4855384615384617,-0.07100000000000001,-3.2880000000000003,-1.9559999999999997,-8.689999999999998,-0.132,-1.14,-0.12400000000000001,-0.40442857142857147,-1.1018571428571429,-0.1772857142857143,-0.0798571428571428,-4.0600000000000005,-3.762428571428573,0.012624999999999997,-0.045,-0.117,-0.07,-0.62,-17.49499999999999,-13.545384615384627,35.0
O6.5V,38300,4.583,-3.49,5.27,-8.44,9.82,-4.95,-0.319,-0.4686153846153847,-0.067,-3.156,-1.8759999999999997,-8.29,-0.131,-1.135,-0.12320000000000002,-0.3975714285714286,-1.0821428571428573,-0.17471428571428574,-0.0781428571428571,-3.9400000000000004,-3.6535714285714294,0.013124999999999998,-0.045,-0.117,-0.07,-0.62,-16.894999999999992,-13.083846153846165,31.0
O7V,37100,4.569,-3.41,5.18,-8.21,9.42,-4.8,-0.318,-0.4516923076923078,-0.063,-3.0240000000000005,-1.7959999999999998,-7.889999999999999,-0.13,-1.13,-0.12240000000000001,-0.39071428571428574,-1.0624285714285715,-0.17214285714285715,-0.07642857142857139,-3.8200000000000003,-3.5447142857142864,0.013624999999999998,-0.045,-0.117,-0.07,-0.62,-16.29499999999999,-12.622307692307704,28.0
O7.5V,36100,4.558,-3.33,5.09,-7.98,8.95,-4.65,-0.317,-0.4375897435897437,-0.05966666666666667,-2.914,-1.7293333333333332,-7.556666666666666,-0.13,-1.125,-0.12173333333333335,-0.385,-1.046,-0.17,-0.07499999999999997,-3.72,-3.4540000000000006,0.014041666666666666,-0.045,-0.117,-0.07,-0.62,-15.794999999999993,-12.237692307692319,26.0
O8V,35100,4.545,-3.24,4.99,-7.74,8.47,-4.5,-0.315,-0.42348717948717957,-0.05633333333333334,-2.8040000000000003,-1.6626666666666665,-7.223333333333333,-0.129,-1.12,-0.12106666666666668,-0.3792857142857143,-1.0295714285714286,-0.16785714285714287,-0.07357142857142855,-3.62,-3.363285714285715,0.014458333333333332,-0.045,-0.117,-0.07,-0.62,-15.294999999999995,-11.853076923076934,23.6
O8.5V,34300,4.535,-3.18,4.91,-7.53,8.06,-4.35,-0.314,-0.4122051282051283,-0.053666666666666675,-2.716,-1.609333333333333,-6.956666666666666,-0.128,-1.115,-0.12053333333333334,-0.3747142857142857,-1.0164285714285715,-0.16614285714285715,-0.07242857142857141,-3.54,-3.290714285714286,0.014791666666666667,-0.045,-0.117,-0.07,-0.62,-14.894999999999994,-11.545384615384625,21.9
O9V,33300,4.522,-3.11,4.82,-7.31,7.72,-4.2,-0.312,-0.39810256410256417,-0.05033333333333334,-2.6060000000000003,-1.5426666666666664,-6.623333333333332,-0.127,-1.11,-0.11986666666666668,-0.369,-1.0,-0.164,-0.071,-3.44,-3.2,0.015208333333333332,-0.045,-0.117,-0.07,-0.62,-14.394999999999994,-11.16076923076924,20.2
O9.5V,31900,4.504,-3.01,4.72,-7.06,7.5,-4.05,-0.307,-0.3783589743589744,-0.045666666666666675,-2.4520000000000004,-1.4493333333333331,-6.156666666666666,-0.125,-1.09,-0.11893333333333334,-0.361,-0.977,-0.161,-0.069,-3.3,-3.073,0.015791666666666666,-0.045,-0.117,-0.07,-0.605,-13.694999999999995,-10.622307692307702,18.7
B0V,31400,4.497,-2.99,4.65,-6.89,7.16,-3.9,-0.301,-0.37130769230769234,-0.044000000000000004,-2.3970000000000002,-1.4159999999999997,-5.989999999999999,-0.122,-1.07,-0.11860000000000001,-0.355,-0.958,-0.159,-0.067,-3.17,-2.942,0.016,-0.045,-0.117,-0.07,-0.59,-13.444999999999995,-10.43000000000001,17.7
B0.5V,29000,4.462,-2.83,4.43,-6.33,6.48,-3.5,-0.289,-0.3374615384615385,-0.036000000000000004,-2.1330000000000005,-1.2559999999999998,-5.1899999999999995,-0.12,-1.03,-0.117,-0.338,-0.913,-0.153,-0.063,-2.8,-2.587,0.017,-0.045,-0.117,-0.07,-0.54,-12.244999999999996,-9.506923076923085,14.8
B1V,26000,4.415,-2.58,4.13,-5.58,5.71,-3.0,-0.278,-0.2951538461538462,-0.026000000000000002,-1.803,-1.0559999999999998,-4.1899999999999995,-0.113,-0.995,-0.115,-0.325,-0.874,-0.148,-0.059,-2.33,-2.126,0.018,-0.045,-0.117,-0.07,-0.49,-10.744999999999996,-8.35307692307693,11.8
B1.5V,24500,4.389,-2.44,3.91,-5.04,5.02,-2.6,-0.252,-0.274,-0.021,-1.6380000000000001,-0.9559999999999998,-3.6899999999999995,-0.103,-0.91,-0.114,-0.281,-0.752,-0.132,-0.047,-2.03,-1.848,0.021,-0.045,-0.117,-0.07,-0.483,-9.994999999999996,-7.7761538461538535,9.9
B2V,20600,4.314,-2.03,3.43,-3.83,4.06,-1.8,-0.215,-0.219,-0.008,-1.209,-0.696,-2.3899999999999997,-0.094,-0.79,-0.094,-0.23,-0.602,-0.113,-0.032,-1.34,-1.198,0.023,-0.045,-0.117,-0.07,-0.475,-8.044999999999998,-6.276153846153852,7.3
B2.5V,18500,4.267,-1.77,3.2,-3.27,3.89,-1.5,-0.198,-0.206,-0.003,-0.978,-0.5559999999999999,-1.69,-0.087,-0.732,-0.087,-0.21,-0.544,-0.105,-0.026,-1.09,-0.956,0.025,-0.045,-0.117,-0.07,-0.468,-6.9949999999999966,-5.468461538461543,6.1
B3V,17000,4.23,-1.54,2.99,-2.74,3.61,-1.2,-0.178,-0.184,0.001,-0.813,-0.45599999999999996,-1.19,-0.083,-0.673,-0.08,-0.192,-0.492,-0.098,-0.021,-0.83,-0.708,0.026,-0.045,-0.117,-0.07,-0.46,-6.244999999999997,-4.891538461538467,5.4
B4V,16400,4.215,-1.49,2.89,-2.49,3.46,-1.0,-0.165,-0.17,0.004,-0.747,-0.4159999999999999,-0.99,-0.078,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,-0.66,-0.553,0.028,-0.045,-0.117,-0.07,-0.437,-5.944999999999998,-4.660769230769235,5.1
B5V,15700,4.196,-1.34,2.77,-2.19,3.36,-0.85,-0.156,-0.16,0.007,-0.67,-0.3693333333333333,-0.84,-0.072,-0.581,-0.07,-0.165,-0.38,-0.084,-0.01,-0.54,-0.376,0.029,-0.045,-0.117,-0.07,-0.413,-5.594999999999997,-4.391538461538465,4.7
B6V,14500,4.161,-1.13,2.57,-1.68,3.27,-0.55,-0.14,-0.142,0.01,-0.538,-0.28933333333333333,-0.54,-0.066,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,-0.28,-0.192,0.03,-0.045,-0.117,-0.07,-0.39,-4.994999999999997,-3.9300000000000037,4.3
B7V,14000,4.146,-1.05,2.48,-1.45,2.94,-0.4,-0.128,-0.129,0.012,-0.483,-0.25599999999999995,-0.39,-0.062,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,-0.16,-0.075,0.031,-0.045,-0.117,-0.07,-0.36,-4.744999999999997,-3.737692307692311,3.92
B8V,12300,4.09,-0.73,2.19,-0.73,2.86,0.0,-0.109,-0.107,0.016,-0.29600000000000004,-0.14266666666666666,-0.01,-0.045,-0.364,-0.048,-0.108,-0.254,-0.067,0.003,0.19,0.254,0.033,-0.046,-0.116,-0.067,-0.33,-3.894999999999998,-3.083846153846157,3.38
B9V,10700,4.029,-0.42,1.86,0.08,2.49,0.5,-0.07,-0.063,0.018,-0.12,-0.036,0.515,-0.029,-0.2,-0.028,-0.061,-0.121,-0.05,0.016,0.59,0.621,0.038,-0.063,-0.104,-0.054,-0.28,-3.0949999999999984,-2.468461538461541,2.75
B9.5V,10400,4.017,-0.36,1.8,0.24,2.45,0.6,-0.05,-0.04,0.017,-0.087,-0.016,0.615,-0.021,-0.13,-0.017,-0.035,-0.048,-0.044,0.021,0.63,0.648,0.04,-0.044,-0.091,-0.043,-0.265,-2.9449999999999985,-2.3530769230769253,2.68
A0V,9700,3.987,-0.21,1.58,0.78,2.193,0.99,0.0,0.013,0.015,-0.037,-0.02,1.0,0.0,-0.005,0.001,0.004,0.041,-0.032,0.028,0.95,0.949,0.042,-0.041,-0.074,-0.022,-0.25,-2.594999999999999,-2.083846153846156,2.18
A1V,9300,3.968,-0.14,1.49,1.02,2.136,1.16,0.035,0.056,0.01,0.005,0.032,1.16,0.017,0.033,0.019,0.044,0.09,-0.025,0.03,1.08,1.07,0.043,-0.036,-0.068,-0.023,-0.21,-2.3949999999999987,-1.930000000000002,2.05
A2V,8800,3.944,-0.07,1.38,1.28,2.117,1.35,0.07,0.091,0.0,0.068,0.05,1.345,0.038,0.063,0.042,0.091,0.178,-0.012,0.034,1.19,1.172,0.044,-0.034,-0.067,-0.029,-0.17,-2.1449999999999987,-1.7376923076923094,1.98
A3V,8600,3.934,-0.04,1.23,1.66,1.861,1.7,0.1,0.109,-0.005,0.11,0.092,1.69,0.055,0.077,0.05,0.108,0.253,0.003,0.035,1.49,1.447,0.045,-0.033,-0.066,-0.029,-0.14,-2.044999999999999,-1.6607692307692328,1.86
A4V,8250,3.917,-0.02,1.13,1.92,1.794,1.94,0.14,0.166,-0.01,0.166,0.113,1.92,0.071,0.097,0.078,0.164,0.353,0.022,0.037,1.65,1.587,0.046,-0.031,-0.059,-0.021,-0.09,-1.8699999999999988,-1.5261538461538477,1.93
A5V,8100,3.908,0.0,1.09,2.01,1.785,2.01,0.16,0.185,-0.015,0.194,0.13,1.98,0.09,0.1,0.089,0.186,0.403,0.031,0.038,1.68,1.607,0.046,-0.03,-0.058,-0.021,-0.07,-1.794999999999999,-1.46846153846154,1.88
A6V,7910,3.898,0.005,1.05,2.13,1.775,2.12,0.185,0.194,-0.02,0.222,0.152,2.09,0.099,0.098,0.094,0.197,0.465,0.043,0.039,1.74,1.655,0.046,-0.03,-0.057,-0.018,-0.05,-1.6999999999999988,-1.395384615384617,1.83
A7V,7760,3.89,0.01,1.0,2.24,1.75,2.23,0.21,0.233,-0.03,0.263,0.173,2.19,0.107,0.091,0.117,0.242,0.528,0.055,0.04,1.8,1.702,0.047,-0.03,-0.056,-0.017,-0.02,-1.6249999999999991,-1.3376923076923093,1.77
A8V,7590,3.88,0.02,0.96,2.34,1.747,2.32,0.25,0.274,-0.04,0.32,0.204,2.27,0.132,0.082,0.14,0.288,0.601,0.07,0.042,1.81,1.694,0.048,-0.028,-0.055,-0.009,0.03,-1.5399999999999991,-1.2723076923076937,1.81
A9V,7400,3.869,0.02,0.92,2.45,1.747,2.43,0.27,0.279,-0.05,0.327,0.207,2.37,0.145,0.08,0.143,0.294,0.674,0.086,0.044,1.89,1.756,0.048,-0.028,-0.055,-0.007,0.06,-1.4449999999999994,-1.1992307692307707,1.75
F0V,7220,3.859,0.01,0.86,2.58,1.728,2.57,0.295,0.317,-0.06,0.377,0.23,2.51,0.158,0.053,0.166,0.339,0.734,0.096,0.045,1.98,1.836,0.049,-0.026,-0.05,0.003,0.1,-1.354999999999999,-1.1300000000000014,1.61
F1V,7020,3.846,0.005,0.79,2.77,1.679,2.76,0.33,0.35,-0.07,0.434,0.252,2.69,0.204,0.021,0.19,0.385,0.819,0.117,0.047,2.11,1.941,0.05,-0.026,-0.047,0.009,0.14,-1.2549999999999994,-1.0530769230769244,1.5
F2V,6820,3.834,-0.005,0.71,2.97,1.622,2.97,0.37,0.39,-0.08,0.49,0.279,2.89,0.25,-0.008,0.213,0.432,0.925,0.14,0.05,2.24,2.045,0.051,-0.027,-0.046,0.011,0.19,-1.1549999999999994,-0.9761538461538475,1.46
F3V,6750,3.829,-0.01,0.67,3.07,1.578,3.08,0.39,0.405,-0.09,0.518,0.293,2.99,0.263,-0.016,0.222,0.449,0.964,0.148,0.051,2.32,2.116,0.051,-0.028,-0.046,0.008,0.21,-1.1199999999999992,-0.9492307692307704,1.44
F4V,6670,3.824,-0.015,0.62,3.19,1.533,3.2,0.41,0.428,-0.1,0.546,0.307,3.1,0.277,-0.026,0.236,0.476,1.012,0.159,0.052,2.4,2.188,0.052,-0.029,-0.046,0.0,0.24,-1.0799999999999996,-0.9184615384615396,1.38
F5V,6550,3.816,-0.02,0.56,3.35,1.473,3.37,0.44,0.455,-0.11,0.587,0.329,3.26,0.29,-0.029,0.252,0.506,1.079,0.173,0.054,2.52,2.291,0.052,-0.03,-0.045,-0.004,0.28,-1.0199999999999996,-0.8723076923076936,1.33
F6V,6350,3.803,-0.03,0.43,3.66,1.359,3.69,0.486,0.504,-0.13,0.64,0.356,3.56,0.317,-0.021,0.276,0.553,1.19,0.199,0.057,2.76,2.5,0.054,-0.033,-0.045,-0.012,0.29,-0.9199999999999994,-0.7953846153846165,1.25
F7V,6280,3.798,-0.035,0.39,3.77,1.324,3.8,0.5,0.534,-0.14,0.67,0.372,3.66,0.332,-0.012,0.29,0.579,1.221,0.213,0.06,2.85,2.579,0.055,-0.036,-0.045,-0.013,0.32,-0.8849999999999995,-0.7684615384615396,1.21
F8V,6180,3.791,-0.04,0.29,4.01,1.221,4.05,0.53,0.558,-0.15,0.694,0.385,3.9,0.35,0.001,0.3,0.599,1.29,0.225,0.061,3.05,2.76,0.056,-0.039,-0.044,-0.016,0.36,-0.8349999999999994,-0.7300000000000011,1.18
F9V,6050,3.782,-0.05,0.22,4.2,1.167,4.25,0.56,0.587,-0.145,0.719,0.399,4.105,0.378,0.014,0.312,0.62,1.335,0.236,0.063,3.21,2.915,0.057,-0.041,-0.044,-0.014,0.38,-0.7699999999999995,-0.680000000000001,1.13
F9.5V,5990,3.777,-0.06,0.18,4.29,1.142,4.35,0.58,0.615,-0.155,0.767,0.431,4.195,0.39092307692307693,0.033,0.323,0.64,1.403,0.249,0.065,3.26,2.947,0.057,-0.042,-0.043,-0.012,0.39,-0.7399999999999994,-0.6569230769230778,1.08
G0V,5930,3.773,-0.065,0.13,4.42,1.1,4.48,0.595,0.65,-0.155,0.784,0.439,4.325,0.40384615384615385,0.057,0.341,0.673,1.437,0.262,0.067,3.37,3.043,0.058,-0.043,-0.043,-0.01,0.42,-0.7099999999999996,-0.6338461538461548,1.06
G1V,5860,3.768,-0.073,0.08,4.55,1.06,4.62,0.622,0.661,-0.158,0.803,0.448,4.462,0.41892307692307695,0.067,0.34,0.672,1.5,0.279,0.07,3.47,3.12,0.06,-0.044,-0.042,-0.01,0.45,-0.6749999999999995,-0.6069230769230778,1.03
G2V,5770,3.761,-0.085,0.01,4.72,1.012,4.8,0.65,0.724,-0.165,0.823,0.459,4.635,0.43830769230769234,0.133,0.363,0.713,1.564,0.293,0.073,3.6,3.236,0.061,-0.05,-0.04,-0.016,0.476,-0.6299999999999996,-0.5723076923076933,1.0
