SpT,Teff,logT,BCv,logL,Mbol,Rsun,Mv,BV,BtVt,GV,BpRp,GRp,M_G,by,UB,VRc,VI,VK,JH,HK,M_J,M_K,KW1,W1W2,W1W3,W1W4,gr,iz,zY,Msun
M1.5V,3620,3.559,-1.5,-1.44,8.35,0.482,9.85,1.495,1.7092500000000002,-0.87,2.13,1.02,8.98,0.9013846153846159,1.17,0.978,2.089,4.1,0.608,0.227,6.59,5.75,0.135,0.0713913043478261,-0.023875000000000014,0.07025,1.475,0.47,0.2546153846153844,0.47
M2V,3560,3.551,-1.62,-1.54,8.59,0.446,10.21,1.505,1.7317500000000001,-0.925,2.23,1.06,9.29,0.9143076923076928,1.17,1.001,2.173,4.23,0.6,0.234,6.81,5.98,0.14,0.08195652173913046,-0.023500000000000014,0.074,1.5050000000000003,0.53,0.2776923076923075,0.44
M2.5V,3470,3.54,-1.78,-1.64,8.82,0.421,10.61,1.522,1.7655,-1.02,2.39,1.1,9.67,0.9336923076923082,1.175,1.041,2.306,4.43,0.589,0.244,7.01,6.18,0.145,0.09780434782608698,-0.022937500000000017,0.079625,1.5500000000000003,0.57,0.3123076923076922,0.4
M3V,3430,3.535,-1.93,-1.79,9.21,0.361,11.15,1.53,1.7805000000000002,-1.1,2.5,1.13,10.05,0.9423076923076928,1.181,1.079,2.42,4.6,0.579,0.252,7.38,6.55,0.15,0.10484782608695654,-0.022687500000000017,0.082125,1.5700000000000003,0.61,0.32769230769230756,0.37
M3.5V,3270,3.515,-2.28,-2.03,9.82,0.3,12.1,1.6,1.8405000000000002,-1.28,2.78,1.19,10.87,0.9767692307692313,1.2,1.178,2.68,5.0,0.558,0.269,7.93,7.1,0.17,0.1330217391304348,-0.02168750000000002,0.092125,1.6500000000000004,0.66,0.38923076923076916,0.27
M4V,3210,3.507,-2.51,-2.14,10.1,0.274,12.61,1.65,1.8630000000000002,-1.4,2.94,1.24,11.21,0.9896923076923082,1.222,1.241,2.831,5.25,0.557,0.28,8.2,7.36,0.18,0.14358695652173914,-0.02131250000000002,0.095875,1.6800000000000004,0.71,0.41230769230769226,0.23
M4.5V,3110,3.493,-2.84,-2.4,10.74,0.217,13.58,1.69,1.9005000000000003,-1.54,3.16,1.28,12.04,1.0112307692307698,1.23,1.345,3.073,5.65,0.564,0.301,8.8,7.93,0.2,0.16119565217391305,-0.020687500000000022,0.10212500000000001,1.7300000000000004,0.81,0.4507692307692307,0.184
M5V,3060,3.486,-3.11,-2.52,11.04,0.196,14.15,1.83,1.9192500000000003,-1.7,3.35,1.33,12.45,1.0220000000000007,1.24,1.446,3.278,5.95,0.58,0.312,9.09,8.2,0.21,0.17,-0.020375000000000025,0.10525000000000001,1.7550000000000003,0.91,0.47,0.162
M5.5V,2930,3.467,-3.58,-2.79,11.72,0.156,15.3,1.94,1.9680000000000004,-1.95,3.71,1.38,13.35,1.0500000000000007,1.3,1.656,3.664,6.5,0.588,0.329,9.72,8.8,0.22,0.19,-0.019562500000000024,0.113375,1.8200000000000005,1.13,0.52,0.123
M6V,2810,3.449,-4.13,-2.98,12.19,0.137,16.32,2.01,2.0130000000000003,-2.37,4.16,1.43,14.26,1.0758461538461543,1.3,1.95,4.1,7.1,0.605,0.352,10.18,9.22,0.225,0.21,-0.018812500000000027,0.12087500000000001,1.8800000000000006,1.45,0.6,0.102
