GroupID,object,spt,npoints,median_mjd,pseudomag,ra_mean,dec_mean,ra_median,dec_median,ra_std,dec_std,ra_skew,dec_skew,ra_kurtosis,dec_kurtosis,semi_major_axis,semi_minor_axis,position_angle,bbox_width,bbox_height,bbox_diagonal,spatial_density,time_span,min_mjd,max_mjd,bbox,EC,CP,LP,I2,P3,HAM,EGG,SCI,CAL
10,HD168871;;;;;;;;;;,G2;G2V;;;;;;;;;,134,53232.06267689815,6.864261894583208,276.14120990858214,-49.6530776119403,276.14213638,-49.652765,11.126795032414984,7.0833559950192475,-0.5712112922596541,-0.3838595714666417,0.1963358858989137,0.8762689281265033,27.23849476591602,17.331346931638947,88.73137555304811,37.404000000003634,62.3339999999871,72.69516333291138,0.057472720264524116,1249770.4119570814,52802.34052703704,56224.02543314815,"[(-49.65861, 276.13182388), (-49.65861, 276.14913888), (-49.64822, 276.14913888), (-49.64822, 276.13182388)]",134,0,0,0,125,125,0,134,0
11,HD-179949;HD179949;;;;;;;;;,F8V;G2;F8;;;;;;;;,157,55766.94759984953,5.319992101640679,288.89108355942676,-24.18032101910828,288.89200194,-24.18042,10.74818652106428,7.006580291178639,-1.9553023775059157,-0.7554874594012639,3.3691801718802763,1.0988502166222087,27.93329259967812,14.350738957416311,66.9328438968141,36.900000000009925,54.41000400003304,65.74236484402081,0.07819779883533451,1083326.492760694,52802.34571951389,55768.332010439815,"[(-24.18727, 288.87993111), (-24.18727, 288.895045), (-24.17702, 288.895045), (-24.17702, 288.87993111)]",43,104,10,0,39,39,0,157,0
12,HD181433;HD 181433;;;;;;;;;,K5;;K5V;;;;;;;;,216,53204.16507166666,8.811180912307119,291.2896001151852,-66.46874671296297,291.29062055500003,-66.468525,20.517692404976625,7.0000661505082,-0.35532176421849354,-2.746721773219457,-0.19380978789502867,14.72935536198981,50.6320286272677,15.875378857244629,82.29637769034598,68.18400000000224,119.32199999996556,137.4292455774683,0.026549157969567545,2630528.0073336223,52802.35071869213,60004.34389414352,"[(-66.48204, 291.27042), (-66.48204, 291.303565), (-66.4631, 291.303565), (-66.4631, 291.27042)]",216,0,0,0,211,211,0,216,0
13,HD183505;;;;;;;;;;,G3IV/V;G3;;;;;;;;;,3,52809.37314667824,,293.82608268333337,-69.09298,293.82603611,-69.09278,0.5906342545157159,1.5692036196636499,0.4794802271112817,-0.6654688661606674,-1.4999999997287192,-1.4999999999645712,,,,2.879999999993288,1.145015999941279,3.0992679200228666,0.909739834834199,2559.2614699914047,52802.36627064815,52809.37314667824,"[(-69.09348, 293.82594694), (-69.09348, 293.826265), (-69.09268, 293.826265), (-69.09268, 293.82594694)]",3,0,0,0,0,0,0,3,0
14,HR8634;ZETAPEG;;;;;;;;;,;;;;;;;;;;,62,55833.076683136576,2.92126330159384,340.3651750364516,10.829791612903227,340.364869995,10.829915,8.025926736744056,7.124780773937419,0.3790992617175163,-0.45675170162605117,-0.6791910679350308,-0.5018581332173722,22.93726636583937,12.802859680998795,51.525712429605655,28.40399999999903,31.45298400002048,42.3801535922829,0.06939853961626789,2580030.607501086,52802.39826116898,59866.13709074074,"[(10.82525, 340.36155611), (10.82525, 340.37029305), (10.83314, 340.37029305), (10.83314, 340.36155611)]",62,0,0,0,58,58,0,62,0
15,HD205871;;;;;;;;;;,G5V;G5;;;;;;;;;,4,52811.42920435185,,324.6697699975,-18.6925575,324.669499025,-18.693315,4.360730125717773,11.002280672661112,0.505550561781541,0.7650822905613556,-1.325306608660749,-0.9051750393108895,28.847585917474795,2.636868367022439,-158.89755505321253,25.632000000001653,9.510983999962264,27.339682526460013,0.016407863932526783,34975.351931108664,52802.41107059028,52898.16836540509,"[(-18.69536, 324.66872), (-18.69536, 324.67136194), (-18.68824, 324.67136194), (-18.68824, 324.66872)]",4,0,0,0,0,0,0,4,0
16,HD207129;HR8323;HD 207129;;;;;;;;,G2;G;G0V;G2V;;;;;;;,569,53896.29503763889,5.520910828352126,327.0666767906854,-47.30406615114236,327.06645805,-47.30442,7.866596264379024,7.89474340986285,1.0125947606417856,0.6529590163146651,4.3610886264371524,0.6659259191299576,21.017179337482155,17.390288717708852,135.54663276226128,44.42400000000646,65.85501600006864,79.43786822649429,0.194493793156781,2435786.652211814,52802.42672267361,59471.24712571759,"[(-47.31064, 327.05869305), (-47.31064, 327.07698611), (-47.2983, 327.07698611), (-47.2983, 327.05869305)]",566,0,0,3,494,494,0,569,0
17,HD212708;;;;;;;;;;,G5;G5V;;;;;;;;;,33,53206.29590929399,7.868398654514638,336.852550509697,-49.36584181818182,336.85288305,-49.36613,8.188041123962018,8.174524439881404,-2.436864432036666,0.60030238443839,6.36985809603034,-0.22285055216857108,23.23816415781492,16.18592377222497,45.1365294686412,31.64400000001706,39.261996000027466,50.42665035382831,0.02656135275048906,418890.9180095405,52802.43652137731,53949.29735097222,"[(-49.36957, 336.84467194), (-49.36957, 336.85557805), (-49.36078, 336.85557805), (-49.36078, 336.84467194)]",33,0,0,0,25,25,0,33,0
18,HR5987;;;;;;;;;;,;B2V;;;;;;;;;,375,54922.17620487268,2.7569420102386912,241.65047206719998,-36.80175488,241.65064194,-36.80124,4.743806566129712,3.5217799180775877,-1.3284404140514519,-0.8938404917676777,2.0206186040144924,-0.39170379978165704,11.687175303443587,8.516782308251129,80.43017137156511,12.348000000005754,22.15400400002636,25.362827074940327,1.3708262656864159,788269.3530313463,52803.1212959375,54961.28516460648,"[(-36.80419, 241.64636611), (-36.80419, 241.65252), (-36.80076, 241.65252), (-36.80076, 241.64636611)]",370,0,0,5,370,370,0,375,0
19,HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;nan;ALPHA-CEN,K1;G2V;K1V;;G2;G5V;0;CIR;;;,27752,60086.2576409375,0.831547491422505,219.8769550540772,-60.83433473155088,219.87673111,-60.83462,32.9240909056067,6.153484143589221,-0.8489865318698144,0.3962463988451537,1.5895704232437575,2.9201861047045963,80.6086968903952,14.94349392162338,91.36171389113053,79.63199999997812,194.0139720000161,209.72047290433892,1.7962784367198354,2660939.391662696,52803.94630585648,60089.20131383101,"[(-60.84354, 219.84375111), (-60.84354, 219.89764388), (-60.82142, 219.89764388), (-60.82142, 219.84375111)]",27370,134,207,41,26453,26403,0,27752,0
20,HD188559;;;;;;;;;;,K3;K3V;;;;;;;;;,37,53202.212326423614,8.858506523381639,299.63698278864865,-54.93768162162162,299.63768805,-54.9376,8.809011767210833,3.0430532320295782,-0.9073822931675587,-0.5061839557628457,1.6126415159961587,0.4849025888108738,21.76037069339126,6.845268823052593,81.82833718903473,14.616000000009421,46.68901200006985,48.923320589908265,0.054219874240498955,418528.7738182196,52804.354968391206,53950.22430122685,"[(-54.94003, 299.62885694), (-54.94003, 299.64182611), (-54.93597, 299.64182611), (-54.93597, 299.62885694)]",37,0,0,0,33,33,0,37,0
21,HD185615;;;;;;;;;;,G6;G6IV/V;;;;;;;;;,24,53202.1993702662,8.471301481485456,295.30692679041664,-32.87374125,295.30643,-32.873515,8.194823490034157,6.072901956555726,0.15497739380098222,-0.24672232594696739,-1.0293678894213412,-0.7918140149914308,20.066031802159372,14.853608030399815,92.40021999301923,22.68000000001109,29.85501599989675,37.49272436559651,0.03544466558665386,1199090.714780008,52804.37212193287,56087.30357923611,"[(-32.87688, 295.30256305), (-32.87688, 295.31085611), (-32.87058, 295.31085611), (-32.87058, 295.30256305)]",24,0,0,0,22,22,0,24,0
22,HD192310;;;;;;;;;;,K3;K3V;;;;;;;;;,1845,54682.97503274305,6.00792728397919,303.82871058872087,-27.033355100271002,303.82904111,-27.03314,8.262163679352012,5.9781719884187305,-0.41215762343191886,-0.07041552388184467,0.36605964552457815,-0.4342670840393885,20.24907505292394,14.596241859179784,94.20552954225113,37.764000000002795,55.53802800000085,67.16094289190028,0.8796864984866053,1774304.944077376,52804.384538275466,57662.16672603009,"[(-27.03753, 303.82099888), (-27.03753, 303.83642611), (-27.02704, 303.83642611), (-27.02704, 303.82099888)]",1845,0,0,0,1835,1834,0,1845,0
23,HD198802;;;;;;;;;;,G1;G1V;;;;;;;;;,31,52811.40163136574,,313.2740518241936,-11.569952580645161,313.27405888,-11.56977,2.5696516189007412,5.951842505720856,0.1710243837540101,-2.874775942365011,1.2239680419210437,8.178771983811128,15.352997190930955,4.009047435428265,-160.9129323671776,29.44800000000427,12.566988000116908,32.01739982252359,0.0837673330958889,37532.82316035595,52804.38763784722,52907.14690728009,"[(-11.57624, 313.27235111), (-11.57624, 313.27584194), (-11.56806, 313.27584194), (-11.56806, 313.27235111)]",31,0,0,0,0,0,0,31,0
24,HD203021;;;;;;;;;;,K0;K0:III+...;;;;;;;;;,10,52907.010145266206,,320.348317831,-51.749573999999996,320.347786525,-51.748675000000006,7.176711637215648,8.708531540962733,0.3623259130908271,-1.3084626289447492,-1.1901318161038126,0.05245319646204516,22.841675588473734,15.52977887978592,150.6524490567808,25.05599999999788,21.435011999983544,32.97366942636704,0.018619350553879727,37473.26639157036,52804.413933379634,52907.010145266206,"[(-51.75414, 320.34569694), (-51.75414, 320.35165111), (-51.74718, 320.35165111), (-51.74718, 320.34569694)]",10,0,0,0,0,0,0,10,0
