HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HD171990;;;;;;;;;;,74
HD203432;;;;;;;;;;,74
HD17970;;;;;;;;;;,74
HD193193;;;;;;;;;;,74
HR1006;ZET1RET;HD20766;;;;;;;;,74
HD76188;;;;;;;;;;,74
HD101930;;;;;;;;;;,74
HD166724;HD 166724;;;;;;;;;,74
HR6998;;;;;;;;;;,74
HD-165474;HD165474;;;;;;;;;,74
HIP-96160;TOI-1055;HIP96160;HD 183579;;;;;;;,74
HIP-68468;HIP68468;HD 122194;;;;;;;;,74
HD231701;HD-231701;;;;;;;;;,74
TOI-733;;;;;;;;;;,74
HD222669;;;;;;;;;;,73
HIP54597;;;;;;;;;;,73
HD148303;;;;;;;;;;,73
HIP108468;HD208704;;;;;;;;;,73
HD18978;HD018978;;;;;;;;;,73
TWA25;;;;;;;;;;,73
TW-HYA;TW-Hya;SERAM-1101-3442;TWHYDRA;;;;;;;,73
KSI_HYA;HD-100407;HR4450;HR-4450;KSI-HYA;;;;;;,73
81 CET;;;;;;;;;;,73
J0608-59;;;;;;;;;;,73
TOI-2196;;;;;;;;;;,73
HD 86226;;;;;;;;;;,73
HD28254;;;;;;;;;;,72
HR2400;;;;;;;;;;,72
HD6718;HD   6718;HIP5301;;;;;;;;,72
HD75289;HD-75289;;;;;;;;;,72
HR-3398;;;;;;;;;;,72
HD136713;;;;;;;;;;,72
HD-11753;PHI PHE;;;;;;;;;,72
C14_5473;CL005-14;CL005_14;;;;;;;;,72
HD82342;;;;;;;;;;,71
HD124292;;;;;;;;;;,71
HIP-36512;HD59711A;HIP36512;HD 59711;;;;;;;,71
HD3964;;;;;;;;;;,71
HD61383;;;;;;;;;;,71
HD165131;;;;;;;;;;,71
HD183414;;;;;;;;;;,71
HD38283;;;;;;;;;;,71
CL062_11;CL062-11;C11_7978;;;;;;;;,71
HD221146;;;;;;;;;;,70
HD218504;;;;;;;;;;,70
HD65277;;;;;;;;;;,70
;;;;;;;;;;,70
HIP9141;HD12039;DKCET;DK_CET;;;;;;;,70
BETASCO;HD144217;B-SCO;BETA_SCO;HD-144218;BETA-SCO;;;;;,70
HD156411;;;;;;;;;;,70
HR8431;;;;;;;;;;,70
HIP-71933;;;;;;;;;;,70
HD 27328;;;;;;;;;;,70
HD 124553;;;;;;;;;;,70
HR370;NUPHE;;;;;;;;;,69
HIP-41317;HD71334;HIP41317;HD 71334;;;;;;;,69
HD 100508;HD100508;;;;;;;;;,69
HD157830;;;;;;;;;;,69
HIP5158;;;;;;;;;;,69
HD210277;HD 210277;;;;;;;;;,69
HD153950;;;;;;;;;;,69
HD215906;;;;;;;;;;,69
DEL-CEN;HD-105435;;;;;;;;;,69
HD16189;DXCET;;;;;;;;;,69
HD 187085;HD187085;;;;;;;;;,69
C10_5106;CL015_10;CL015-10;;;;;;;;,69
J0526-34;;;;;;;;;;,69
TOI-836;CD-23 12010;;;;;;;;;,69
GJ 1;GJ-1;;;;;;;;;,69
TOI-1027;;;;;;;;;;,69
HD196761;;;;;;;;;;,68
HD66040;;;;;;;;;;,68
HD61051;;;;;;;;;;,68
AH-LEP;HD36869;V AH LEP;;;;;;;;,68
HD224685;;;;;;;;;;,68
HD175638;HD175639;;;;;;;;;,68
GJ3822;;;;;;;;;;,68
CD-529381;;;;;;;;;;,68
TOI-233;LP  821-31;;;;;;;;;,68
TOI-1117;;;;;;;;;;,68
HD44219;;;;;;;;;;,67
HD59984;HD059984;;;;;;;;;,67
HD108341;;;;;;;;;;,67
HD330075;HD-330075;;;;;;;;;,67
HD214759;;;;;;;;;;,67
HD190647;HD 190647;;;;;;;;;,67
HD142;;;;;;;;;;,67
HD 166348;HD166348;;;;;;;;;,67
HD132052;;;;;;;;;;,67
SW2357-4116;WASP-5;;;;;;;;;,67
HD27376;HD-27376;;;;;;;;;,67
HD  76151;HD76151;;;;;;;;;,66
HR7875;PHI2PAV;;;;;;;;;,66
HD72659;;;;;;;;;;,66
HD150474;;;;;;;;;;,66
HD46202;HD-46202;STD0632+0458;;;;;;;;,66
HD141943;;;;;;;;;;,66
SW2055-3408;;;;;;;;;;,66
J1008-29;;;;;;;;;;,66
TOI-969;;;;;;;;;;,66
HD16905;;;;;;;;;;,65
HD104800;;;;;;;;;;,65
HD131664;;;;;;;;;;,65
GJ3090;CD-47   399;;;;;;;;;,65
HD210752;HD 210752;;;;;;;;;,64
HE0515-4414;Q0515;HE-0515-4414;HE0515-4410;QSO-B0515-4414;QSO-HE0515-4414;QSO-B0515;HE0515;;;,64
HD103197;;;;;;;;;;,64
HD150177;;;;;;;;;;,64
104TAU;HD32923;;;;;;;;;,64
HD148156;;;;;;;;;;,64
HD221638;;;;;;;;;;,64
HD181327;;;;;;;;;;,64
GJ3148A;;;;;;;;;;,64
HD-22468;HR-1099;;;;;;;;;,64
HD192263;HDTE192263;;;;;;;;;,64
HIP-25670;HIP25670;;;;;;;;;,64
GL375;;;;;;;;;;,64
TOI-776;;;;;;;;;;,64
TOI-1839;;;;;;;;;;,64
HD222335;;;;;;;;;;,63
HD25171;;;;;;;;;;,63
HD68284;;;;;;;;;;,63
HD92588;HD-92588;;;;;;;;;,63
HD161612;;;;;;;;;;,63
HD149757;;;;;;;;;;,63
HD118022;78-VIR;;;;;;;;;,63
HD218340;HD 218340;;;;;;;;;,63
TWA22;;;;;;;;;;,63
SW0020-2356;;;;;;;;;;,63
WASP-9;;;;;;;;;;,63
SW1508+0220;;;;;;;;;;,63
J1219-39;HD114853;;;;;;;;;,63
TOI-700;UCAC3 49-21611;;;;;;;;;,63
TOI-640;;;;;;;;;;,63
TET SCO;;;;;;;;;;,63
HR8634;ZETAPEG;;;;;;;;;,62
HD 361;HD361;HD   361;;;;;;;;,62
HD40397;;;;;;;;;;,62
HD24633;;;;;;;;;;,62
HD94151;HD 94151;;;;;;;;;,62
HD48115;;;;;;;;;;,62
HIP70849;;;;;;;;;;,62
SW2309+1823;;;;;;;;;;,62
HD46769;;;;;;;;;;,62
HD83443;;;;;;;;;;,61
HD33473A;;;;;;;;;;,61
HD3220;;;;;;;;;;,61
HD109409;;;;;;;;;;,61
HD104006;HIP-58401;;;;;;;;;,61
HD026923;HD-26923;HD26923;HD26913;;;;;;;,61
HD 213240;HD213240;;;;;;;;;,61
NGC2423NO3;;;;;;;;;;,61
GJ740;;;;;;;;;;,61
HD 98649;HIP55409;HD98649;;;;;;;;,61
HD021175;;;;;;;;;;,61
J1204-47;;;;;;;;;;,61
HD37990;;;;;;;;;;,60
HD21749;;;;;;;;;;,60
HD24062;;;;;;;;;;,60
HD14745;;;;;;;;;;,60
HD8535;;;;;;;;;;,60
HD304043;GJ422;HD 304043;;;;;;;;,60
HD 114386;HD114386;;;;;;;;;,60
HD108063;;;;;;;;;;,60
HD105779;;;;;;;;;;,60
HD-60435;;;;;;;;;;,60
HD161566;;;;;;;;;;,60
TET-CAR;HD-93030;;;;;;;;;,60
DEL-CRU;HD-106490;;;;;;;;;,60
SW2012-0208;;;;;;;;;;,60
CWW_078;;;;;;;;;;,60
CD-74673;;;;;;;;;;,60
DCAR;;;;;;;;;;,60
J1201-36;;;;;;;;;;,60
J0925-03;;;;;;;;;;,60
J1403-32;;;;;;;;;;,60
TOI-5559;;;;;;;;;;,60
HD123651;;;;;;;;;;,59
HD190984;;;;;;;;;;,59
HD189625;;;;;;;;;;,59
XI-PHE-A;HD3980;;;;;;;;;,59
HD 141937;HD141937;;;;;;;;;,59
ALF-ARA;HR6510;;;;;;;;;,59
HD143361;HIP78521;;;;;;;;;,59
HD43338;;;;;;;;;;,59
HD6434;HD006434;HIP5054;;;;;;;;,59
HD 183216;HD183216;;;;;;;;;,59
TOI-2194;;;;;;;;;;,59
HD 200852;;;;;;;;;;,59
HD196050;HD 196050;;;;;;;;;,58
NGC4349NO127;;;;;;;;;;,58
HD202871;;;;;;;;;;,58
HD189245;;;;;;;;;;,58
HIP-10303;HIP10303;;;;;;;;;,58
TWA-9A;;;;;;;;;;,58
SW0136-5039;;;;;;;;;;,58
J2101-45;;;;;;;;;;,58
TOI-270;;;;;;;;;;,58
HD 210614;;;;;;;;;;,58
HD30177;HD  30177;HIP21850;;;;;;;;,57
GL341;HD304636;;;;;;;;;,57
HR-8949;;;;;;;;;;,57
HD196385;;;;;;;;;;,57
GJ2049;;;;;;;;;;,57
HIP-89650;HIP89650;HD167060;HD 167060;;;;;;;,57
HR-5794-V;HR5794;HR-5794;;;;;;;;,57
HIP--8507;HIP8507;;;;;;;;;,57
HIP-10175;HIP10175;;;;;;;;;,57
CWW_079;;;;;;;;;;,57
GJ664;;;;;;;;;;,57
HD-148427;HD148427;;;;;;;;;,57
J1928-38;;;;;;;;;;,57
J0525-55;;;;;;;;;;,57
HD11608;;;;;;;;;;,56
LP771-95A;;;;;;;;;;,56
HD28185;HD  28185;;;;;;;;;,56
HD 106515A;HD106515A;;;;;;;;;,56
HD30652;HD030652;;;;;;;;;,56
HIP104045;HD200633;HD 200633;;;;;;;;,56
HD211998;NU-IND;;;;;;;;;,56
HD 149189;HD149189;;;;;;;;;,56
GJ1252;L  210-70;;;;;;;;;,56
SW1117-1903;;;;;;;;;;,56
HD-111123;BET-CRU;;;;;;;;;,56
HIP101905;HD 196390;;;;;;;;;,56
HIP-79578;HIP79578;HD 145825;;;;;;;;,56
35 CRU;BG_CRU;;;;;;;;;,56
SW1400-3035;;;;;;;;;;,56
HD 212729;TOI-1052;;;;;;;;;,56
HD 209703;;;;;;;;;;,56
HD 222435;;;;;;;;;;,56
HD168746;;;;;;;;;;,55
HD88742;;;;;;;;;;,55
HD4208;HD   4208;;;;;;;;;,55
HD51754;;;;;;;;;;,55
HD16548;;;;;;;;;;,55
HD43197;HD 43197;;;;;;;;;,55
HD38393;LTT2364;HD038393;;;;;;;;,55
HD152079;;;;;;;;;;,55
DI-CHA;SERAM-1107-7738;;;;;;;;;,55
SW2055-1858;;;;;;;;;;,55
SW1332-4228;;;;;;;;;;,55
HD200133;;;;;;;;;;,55
HD 200297;;;;;;;;;;,55
TOI-2411;;;;;;;;;;,55
HD221580;;;;;;;;;;,54
HD17865;;;;;;;;;;,54
HD23901;;;;;;;;;;,54
HR209;;;;;;;;;;,54
HD70642;HD  70642;;;;;;;;;,54
HD 142022;HD142022A;;;;;;;;;,54
HR-3203;;;;;;;;;;,54
HIP-79715;HIP79715;HD145927;;;;;;;;,54
HD135559;;;;;;;;;;,54
SW1355-3209;WASP-15B;TCHOUBIDOO3;;;;;;;;,54
SW1301-2731;;;;;;;;;;,54
HIP114615;;;;;;;;;;,54
SW1105-0504;;;;;;;;;;,54
SW1145-4203;;;;;;;;;;,54
HD999970;;;;;;;;;;,54
J0345-10;;;;;;;;;;,54
TIC170729775;CD-34 1735;CD-34  1735;;;;;;;;,54
HD 181234;;;;;;;;;;,54
HD 142415;;;;;;;;;;,54
HD222237;;;;;;;;;;,53
HD205294;HD 205294;;;;;;;;;,53
GL357;;;;;;;;;;,53
HD74957;;;;;;;;;;,53
HD123265;;;;;;;;;;,53
HD188815;;;;;;;;;;,53
HD212036;;;;;;;;;;,53
HIP-69645;HIP69645;HD 124523;;;;;;;;,53
HD83058;HD_83058_5.03;;;;;;;;;,53
HD 211847;;;;;;;;;;,53
HD37226;;;;;;;;;;,52
HD20868;;;;;;;;;;,52
HD122862;;;;;;;;;;,52
HD140901;;;;;;;;;;,52
HD134440;;;;;;;;;;,52
HD142709;;;;;;;;;;,52
C8_3386;HD3167;;;;;;;;;,52
HD202917;HIP105388;;;;;;;;;,52
HD29488;HD029488;;;;;;;;;,52
HD49095;HD049095;;;;;;;;;,52
IRA01_E2_1126;COROT-EXO-1;;;;;;;;;,52
OBJ778;SAND978;S978;SAND989;OBJ851;S989;NGC  2682   127;YBP778;;;,52
HD171219;;;;;;;;;;,52
HD-64740;;;;;;;;;;,52
HD-109026;GAM-MUS;;;;;;;;;,52
TET-ARA;HD165024;;;;;;;;;,52
RXJ1609.7-3854;;;;;;;;;;,52
V AK SCO;HD152404_9_F5;HD152404;;;;;;;;,52
V1149SCO;;;;;;;;;;,52
HD 171238;;;;;;;;;;,52
HD 146817;;;;;;;;;;,52
HD195019;;;;;;;;;;,51
HD69655;;;;;;;;;;,51
HD61902;HD 61902;;;;;;;;;,51
HD31532;;;;;;;;;;,51
HR8883;;;;;;;;;;,51
HD89454;HD 89454;;;;;;;;;,51
HD199260;;;;;;;;;;,51
HD147165;HD141765;SIG_SCO;HD 147165;;;;;;;,51
HD171587;;;;;;;;;;,51
GJ27.1;;;;;;;;;;,51
V2129OPH;V2129-OPH;SR-9;;;;;;;;,51
HD149438;TAU-SCO;;;;;;;;;,51
HIP-77883;HD142331;HD 142331;HIP77883;;;;;;;,51
J2215+02;;;;;;;;;;,51
HD222582;;;;;;;;;;,50
HD68607;;;;;;;;;;,50
GL877;HIP113229;;;;;;;;;,50
HD72769;;;;;;;;;;,50
HD63454;HD-63454;;;;;;;;;,50
HD187532;;;;;;;;;;,50
HD221503;;;;;;;;;;,50
HD105;HD000105;;;;;;;;;,50
HD-208217;HD208217;;;;;;;;;,50
HD126248;;;;;;;;;;,50
HD186543;;;;;;;;;;,50
HD129685;B_HR5489;HR5489;A_HR5489;C_HR5489;D_HR5489;;;;;,50
GAM-TRA;HD135382;;;;;;;;;,50
HR4172;;;;;;;;;;,50
HD142301;;;;;;;;;;,50
HD50499;HD  50499;;;;;;;;;,50
HD94270;HD 94270;;;;;;;;;,50
WASP-140_TRA;WASP140;WASP-140_ORB;;;;;;;;,50
TOI-238;;;;;;;;;;,50
TIC139147770;TYC 8011-1257-1;;;;;;;;;,50
TOI-908;;;;;;;;;;,50
HD191797;;;;;;;;;;,49
HD55693;;;;;;;;;;,49
HD290327;HD 290327;;;;;;;;;,49
HIP12961;;;;;;;;;;,49
HD20852;;;;;;;;;;,49
HD108309;;;;;;;;;;,49
GJ390;BD-093070;;;;;;;;;,49
HD200538;;;;;;;;;;,49
HD-83368;;;;;;;;;;,49
HD-42659;;;;;;;;;;,49
HD150139;;;;;;;;;;,49
BD-114672;;;;;;;;;;,49
NGC3532NO649;;;;;;;;;;,49
GJ4332;;;;;;;;;;,49
SW2334-4203;WASP-4;;;;;;;;;,49
ZET-PHE;PHE;ZETA-PHE;0108_PHE;;;;;;;,49
HIP-64673;HD 115031;HIP64673;;;;;;;;,49
EVEL;;;;;;;;;;,49
TIC1167538;CD-32 1952;CD-32  1952;;;;;;;;,49
HD203850;;;;;;;;;;,48
HD21019;;;;;;;;;;,48
BD-130321;;;;;;;;;;,48
GL1;;;;;;;;;;,48
HD138763;;;;;;;;;;,48
EPS-GRU;HD215789;;;;;;;;;,48
HR5035;HD-116087;;;;;;;;;,48
HD-87488;;;;;;;;;;,48
HD164509;;;;;;;;;;,48
HD38459;;;;;;;;;;,48
HIP-7884;;;;;;;;;;,48
GJ660.1;HIP84212;;;;;;;;;,48
HD137509;HD-137509;;;;;;;;;,48
HD-96446;HD96446_6.7;;;;;;;;;,48
HD-113791;;;;;;;;;;,48
HIP118115;;;;;;;;;;,48
GAM-ARA;HD157246;;;;;;;;;,48
HD017925;;;;;;;;;;,48
TYC-8162-1020-1;;;;;;;;;;,48
HD11231;;;;;;;;;;,48
HD128775;;;;;;;;;;,48
HD136347;;;;;;;;;;,48
SW1420-3112;NG1416-3056-43256;NG1416;;;;;;;;,48
HD133938;;;;;;;;;;,48
J2046+06;;;;;;;;;;,48
TOI-199;;;;;;;;;;,48
HD 203569;;;;;;;;;;,48
HIP9603;;;;;;;;;;,47
HD1690;;;;;;;;;;,47
HD78558;;;;;;;;;;,47
HD16141;;;;;;;;;;,47
HIP18918;;;;;;;;;;,47
ZETA-GEM;;;;;;;;;;,47
HD58489;HD 58489;;;;;;;;;,47
HD132569;;;;;;;;;;,47
HD197692;;;;;;;;;;,47
HD 92139;P-VEL;;;;;;;;;,47
HD174429;;;;;;;;;;,47
HD179346;;;;;;;;;;,47
HD199254;;;;;;;;;;,47
HD093372;HD93372;;;;;;;;;,47
ZET_PYX;HD-73898;;;;;;;;;,47
HR_3728;HD-81101;HD81101;;;;;;;;,47
NGC3532NO19;NGC3532NO.19;HD  96445;;;;;;;;,47
LMC-CEP227;LMC-CEP-0227;;;;;;;;;,47
HD157056;THETA-OPH;;;;;;;;;,47
HIP-73241;HD 131923;;;;;;;;;,47
TOI-141;HD213885;;;;;;;;;,47
TIC118339710;TYC 6570-1482-1;;;;;;;;;,47
TOI-2459;;;;;;;;;;,47
HD213042;;;;;;;;;;,46
HD44594;;;;;;;;;;,46
HD192961;;;;;;;;;;,46
HD138799;;;;;;;;;;,46
HD165920;;;;;;;;;;,46
HD134664;HIP74389;HD 134664;;;;;;;;,46
HD223011;;;;;;;;;;,46
HD63847;HD063847;;;;;;;;;,46
CHI-OPH;HD148184;CHI OPH;;;;;;;;,46
GAM_APS;GAM-APS;;;;;;;;;,46
HD78286;HD-78286;;;;;;;;;,46
GJ3218;;;;;;;;;;,46
NO-PUP;0826_NO-PUP;;;;;;;;;,46
GJ369;;;;;;;;;;,46
N330-2;N330-3;N330-8;N330-6;N330-9;;;;;;,46
HD061005;HD61005;;;;;;;;;,46
HIP-49756;HIP49756;HD 88072;;;;;;;;,46
HD218566;;;;;;;;;;,46
WASP-52;;;;;;;;;;,46
J0621-50;;;;;;;;;;,46
TOI-849;;;;;;;;;;,46
TOI-880;HD  43629;;;;;;;;;,46
V CY TUC;;;;;;;;;;,46
HD 221141;;;;;;;;;;,46
HD38973;;;;;;;;;;,45
HD17548;;;;;;;;;;,45
HD22496;;;;;;;;;;,45
HD197083;;;;;;;;;;,45
HD27063;;;;;;;;;;,45
HD35650;HD035650;;;;;;;;;,45
HD15612;;;;;;;;;;,45
HD210797;;;;;;;;;;,45
HD213628;;;;;;;;;;,45
HD130322;;;;;;;;;;,45
HD23472;TOI-174;;;;;;;;;,45
HD108202;;;;;;;;;;,45
HD60584;HD060584;;;;;;;;;,45
MT-TEL;MT_TEL;;;;;;;;;,45
HR7830;;;;;;;;;;,45
HIP117367;;;;;;;;;;,45
HIP-62039;HIP62039;HD 110537;;;;;;;;,45
SW0425-3036;;;;;;;;;;,45
WASP-120_TRA;WASP-120_ORB;;;;;;;;;,45
TIC296737508;HD 81968;HD  81968;;;;;;;;,45
HD11226;;;;;;;;;;,44
HIP17157;HD817157;;;;;;;;;,44
GJ-160.2;BD-210784;BD-21784;;;;;;;;,44
HD52449;;;;;;;;;;,44
HD101612;;;;;;;;;;,44
HD172513;;;;;;;;;;,44
HD156079;;;;;;;;;;,44
HIP--4909;HD6204;HIP4909;;;;;;;;,44
NGC3114NO6;;;;;;;;;;,44
HD164249;HIP88399;;;;;;;;;,44
GJ696;HD162283;;;;;;;;;,44
HD167677;;;;;;;;;;,44
HD76653;HD076653;;;;;;;;;,44
HD195145;;;;;;;;;;,44
KAP-LUP;HD134481;;;;;;;;;,44
ALF_MON;HD-61935;;;;;;;;;,44
GJ114.1A;;;;;;;;;;,44
GJ634;;;;;;;;;;,44
PDS-2;CD-53-251;;;;;;;;;,44
TOI-4324;GJ3563;;;;;;;;;,44
HD33904;HD-33904;;;;;;;;;,44
SW0018-1516;SW0018-1516B;;;;;;;;;,44
SW2100-0505;;;;;;;;;;,44
DEL-VOL;;;;;;;;;;,44
P-PUP;HD63922;;;;;;;;;,44
J0649-27;;;;;;;;;;,44
J2207-41;TYC7998-972-1;;;;;;;;;,44
TOI-696;;;;;;;;;;,44
HD30053;;;;;;;;;;,43
HD62128;;;;;;;;;;,43
HIP-54102;HD96116;HIP54102;HD 96116;;;;;;;,43
HD183783;;;;;;;;;;,43
HD125455;;;;;;;;;;,43
HD188088;;;;;;;;;;,43
GQ-LUP;GQLUP;;;;;;;;;,43
HIP63157;;;;;;;;;;,43
HD109085;ETA_CRV;;;;;;;;;,43
HD196800;HD 196800;;;;;;;;;,43
HD191760;;;;;;;;;;,43
GJ3082;;;;;;;;;;,43
HD23207;;;;;;;;;;,43
OBJ401;OBJ350;;;;;;;;;,43
WASP77;SW0228-0703;SW0228-0703B;;;;;;;;,43
HR3702;A_HR3702;B_HR3702;C_HR3702;D_HR3702;E_HR3702;;;;;,43
HIP-42333;HIP42333;;;;;;;;;,43
SW1341-0007;;;;;;;;;;,43
J0543-57;;;;;;;;;;,43
HD220689;;;;;;;;;;,43
G268-143;G 268-143;;;;;;;;;,43
TIC 279514271;TIC279514271;;;;;;;;;,43
HD208;;;;;;;;;;,42
HD135379;;;;;;;;;;,42
HD191849;;;;;;;;;;,42
33-LIB;HD137949;;;;;;;;;,42
HIP-44997;HD78660;HIP44997;HD 78660;;;;;;;,42
HR-4854;HD111133;;;;;;;;;,42
DEL-ARA;HD158094;;;;;;;;;,42
SW2030+0625;WASP-2;;;;;;;;;,42
HD024916;GJ157B;;;;;;;;;,42
HD31225;;;;;;;;;;,42
V760-SCO;;;;;;;;;;,42
HD102458;;;;;;;;;;,42
HIP-64713;HIP64713;HD 115169;HD115169;;;;;;;,42
HD221507;HD-221507;HD221507M;;;;;;;;,42
HD091024;HD91024;;;;;;;;;,42
HIP-76114;HIP76114;HD 138573;;;;;;;;,42
SW2020-1918;;;;;;;;;;,42
HD164492C;HD164492B;HD_164492C;;;;;;;;,42
HD100655;;;;;;;;;;,42
J2126-28;;;;;;;;;;,42
J2122-32;;;;;;;;;;,42
J2040-41;;;;;;;;;;,42
TOI-201;;;;;;;;;;,42
TOI-855;;;;;;;;;;,42
HD208068;;;;;;;;;;,41
HD24112;;;;;;;;;;,41
HD80632;;;;;;;;;;,41
HD93351;;;;;;;;;;,41
HD145598;HD 145598;;;;;;;;;,41
HD-46462;;;;;;;;;;,41
HD007661;HD7661;;;;;;;;;,41
HIP-73815;HD133600;HD 133600;HIP73815;;;;;;;,41
LTT-1059;HD12311;HD012311;;;;;;;;,41
HD49798;;;;;;;;;;,41
RHO-LEO;;;;;;;;;;,41
GAM_HYA;ZI-991_G8III;;;;;;;;;,41
GJ2003;;;;;;;;;;,41
V1034-SCO;;;;;;;;;;,41
HIP-30502;HIP30502;HD45346;;;;;;;;,41
HD4676;;;;;;;;;;,41
HD170200;;;;;;;;;;,41
HR4138;A_HR4138;C_HR4138;B_HR4138;;;;;;;,41
C14_7106;;;;;;;;;;,41
J0418-53;;;;;;;;;;,41
J0627-67;;;;;;;;;;,41
WASP-173_TRA;WASP-173_ORB;;;;;;;;;,41
TYC 8954-1014-1;TIC371188886;;;;;;;;;,41
HD207700;HIP108158;HD 207700;;;;;;;;,40
HD44447;;;;;;;;;;,40
HD2638;;;;;;;;;;,40
HD25912;;;;;;;;;;,40
HD104982;;;;;;;;;;,40
HD111031;;;;;;;;;;,40
HD111564;;;;;;;;;;,40
HD49035;;;;;;;;;;,40
HD144589;;;;;;;;;;,40
GL680;;;;;;;;;;,40
HD129191;;;;;;;;;;,40
HD203387;HD-203387;;;;;;;;;,40
HD004247;HD4247;;;;;;;;;,40
NGC2360NO86;NGC2360NO85;HIP  35305;;;;;;;;,40
HD56537;HD056537;;;;;;;;;,40
HD74591;HD074591;;;;;;;;;,40
HD88955;HD088955;;;;;;;;;,40
HD094388;HD94388;;;;;;;;;,40
HD154962;;;;;;;;;;,40
HD192865;;;;;;;;;;,40
HD207575;;;;;;;;;;,40
HD-32964;;;;;;;;;;,40
HR-4390;HD-98718;;;;;;;;;,40
HD-66765;;;;;;;;;;,40
HIP-30158;HIP30158;;;;;;;;;,40
HD147010;;;;;;;;;;,40
HD063608;;;;;;;;;;,40
BET-PHE;;;;;;;;;;,40
LTT-2656;;;;;;;;;;,40
HD836985;;;;;;;;;;,40
LAM-CEN;;;;;;;;;;,40
HD65987;;;;;;;;;;,40
HD144334;;;;;;;;;;,40
HD4313;HD004313;;;;;;;;;,40
K2-287;CL001-15;CL001_15;EPIC249451861;;;;;;;,40
J1305-31;;;;;;;;;;,40
HD147723;HD147722;;;;;;;;;,40
TOI-663;;;;;;;;;;,40
ETA AQL;;;;;;;;;;,40
HD157338;;;;;;;;;;,39
HD8638;;;;;;;;;;,39
HD207190;;;;;;;;;;,39
HD224789;;;;;;;;;;,39
HD73121;;;;;;;;;;,39
GL300;;;;;;;;;;,39
HD67458;;;;;;;;;;,39
HD75530;;;;;;;;;;,39
HD26887;;;;;;;;;;,39
HD115674;;;;;;;;;;,39
HD114747;;;;;;;;;;,39
HD181296;;;;;;;;;;,39
HD136894;;;;;;;;;;,39
ISERI;HD19668;HD019668;;;;;;;;,39
HD092945;HD92945;;;;;;;;;,39
HD184985;;;;;;;;;;,39
CD-74966;HD133813;;;;;;;;;,39
BETA-PAV;BET-PAV;;;;;;;;;,39
HD025490;HD25490;;;;;;;;;,39
HIP55955;GJ429.2;;;;;;;;;,39
HD119291;;;;;;;;;;,39
S-ARA;;;;;;;;;;,39
NGC2287NO75;;;;;;;;;;,39
52-AQR;HD212571;52 AQR;;;;;;;;,39
V3903-SGR;;;;;;;;;;,39
HD177171;;;;;;;;;;,39
SW1335-1730;WASP-55;;;;;;;;;,39
SW0548-6359;WASP-62;;;;;;;;;,39
HD216054;;;;;;;;;;,39
EPIC201505350;C01T005;C1_5350;;;;;;;;,39
HD222480;;;;;;;;;;,39
ZET-CEN;;;;;;;;;;,39
TOI-4838;C14_2140;;;;;;;;;,39
HD129590;;;;;;;;;;,39
TOI-447;TYC7053-832-1;;;;;;;;;,39
HD 212657;;;;;;;;;;,39
HD20619;;;;;;;;;;,38
HIP39470;;;;;;;;;;,38
X-SGR;X_SGR;;;;;;;;;,38
HD128571;;;;;;;;;;,38
HIP107133;;;;;;;;;;,38
HD120344;;;;;;;;;;,38
HD147518;;;;;;;;;;,38
HD167300;;;;;;;;;;,38
HD2885;HD2884;;;;;;;;;,38
BD-012505;;;;;;;;;;,38
HD110557;;;;;;;;;;,38
NGC5822NO8;NGC5822NO.8;;;;;;;;;,38
HD-142070;;;;;;;;;;,38
HD130992;;;;;;;;;;,38
HD147449;;;;;;;;;;,38
HD032977;HD32977;;;;;;;;;,38
HD033262;HD33262;;;;;;;;;,38
HD91324;HD091324;;;;;;;;;,38
HD032743;HD32743;;;;;;;;;,38
HD033256;HD33256;;;;;;;;;,38
HD031746;HD31746;;;;;;;;;,38
HD007439;HD7439;HD 7439;;;;;;;;,38
NGC2287NO97;;;;;;;;;;,38
HD154221;HIP83707;;;;;;;;;,38
V1247-ORI;V1247ORI;;;;;;;;;,38
HR4326;A_HR4326;B_HR4326;C_HR4326;HD-96568;HD 96568;;;;;,38
HD037572;HD826369;;;;;;;;;,38
HD94660;HD-94660;HD-94660-V;;;;;;;;,38
SW0644-4245;;;;;;;;;;,38
HD210027;;;;;;;;;;,38
RHOPAV;;;;;;;;;;,38
HD 164948;SCB-7;SCB-739;;;;;;;;,38
PHI-ERI;HD14228;;;;;;;;;,38
HD 7399;HD7399;;;;;;;;;,38
J0055-00;;;;;;;;;;,38
J2052+11;;;;;;;;;;,38
J0228+05;;;;;;;;;;,38
TOI-193;LTT9779;;;;;;;;;,38
TOI-282;HD28109;;;;;;;;;,38
TOI-2224;;;;;;;;;;,38
HD188559;;;;;;;;;;,37
HIP948;;;;;;;;;;,37
HD215257;;;;;;;;;;,37
HD85119;;;;;;;;;;,37
HD75881;;;;;;;;;;,37
HD81767;;;;;;;;;;,37
HD100777;;;;;;;;;;,37
HD176666;;;;;;;;;;,37
NGC4349NO168;;;;;;;;;;,37
HR-6958;HD170973;;;;;;;;;,37
HD9672;HD009672;;;;;;;;;,37
GJ480;;;;;;;;;;,37
HD165155;HD 165155;;;;;;;;;,37
LRC02_E1_0651;;;;;;;;;;,37
SW0331-2349;;;;;;;;;;,37
V906-SCO;;;;;;;;;;,37
