target,count,ra,e_ra,dec,e_dec
ZET TUC,398,5.042436339346733,0.003375062763928182,-64.86840698492462,0.0008861943966159569
HD44195,387,95.18041039635659,0.0037742839139495317,5.278230749354005,0.0009164115116991183
HD109536,386,188.939509639171,0.0015752439449184625,-41.022661994818655,0.0015327318485016653
HD96700,386,166.97625979093263,0.016553082067942437,-30.174249067357515,0.003969330233747727
HD215152,384,340.8396249351302,0.0024498284782253268,-6.400938177083333,0.0013621894562699274
HR5987,375,241.65047206719998,0.0013177240461471422,-36.80175488,0.0009782721994659965
HD68978A,370,123.39322413110811,0.0021559660961296637,-31.73576843243243,0.006606543215196729
EPIC211311380,370,126.6146672754865,0.0012943499232536378,10.078645108108107,0.001519035357213657
HD67523,368,121.8853105892663,0.0006961320874458185,-24.305153206521737,0.0015467216066096317
GJ9827,367,344.32980293103543,49.926944589201746,-2.262236130790191,6.5507981629833205
WASP-189,359,225.6864327336769,0.001015261408097048,-3.0319786350974933,0.001481170297525625
HD-104237,356,180.0209670769382,0.010344772944032856,-78.19406831460674,0.0021760082259324434
HR4468,354,174.17126974621468,0.0018941080897478316,-9.802005367231638,0.00183293183176072
HD134060,353,227.68631090563738,0.0024011458268069896,-61.42283756373938,0.0012332734351902653
KELT-11,344,161.7064348110465,0.0015877419481663926,-9.399498110465116,0.0015764020293125482
HD10180,337,24.47364914041543,0.0027778936746357297,-60.51209071216618,0.0010086203287178988
HD45184,329,96.18354159395136,0.0020282474924510725,-28.780538389057753,0.0025987025645305022
HD189631,323,300.67278903504643,0.0025688531139390768,-41.41782938080495,0.00197569633621593
GAMCEN,320,190.37717162193752,0.0011274323611714238,-48.962143874999995,0.0013610808389543955
HD146233,312,243.90688011637818,0.002130892859430561,-8.370541506410255,0.0015862461420306834
GJ367,309,146.1214777638835,0.001676381313958941,-45.782300841423954,0.001957466873905025
HD95456,305,165.17006924281966,0.0020049769595649088,-31.83880249180328,0.0013595138767265645
HR5174,305,206.73717723193442,0.001754402279921391,-36.25099737704918,0.0010565318475400482
ALPHA-CENTAURI,304,219.88250461095393,0.004722305287306633,-60.83398858552632,0.00022111696482111904
HD210918,298,333.6645441102349,0.0021774877385890507,-41.3853405704698,0.0024357209837247104
HD   4915,297,12.797747951548821,0.0010885863484088613,-5.039608855218855,0.0015316681980220841
LHS1140,296,11.248584028513513,0.0010888213353986566,-15.274325439189187,0.0018392004000499496
HD26965A,296,63.80995418986487,0.0030667029745584536,-7.664530168918919,0.0037550896044524127
HD16417,293,39.2476449372355,0.02938912456950673,-34.57794197952218,0.0013191851624143036
DELTA-PAV,292,302.18618474195205,0.0013059331108343421,-66.18406226027396,0.00015904470205095137
HD134606,292,228.8097926680822,0.005998821363277273,-70.5199615410959,0.0018298725910181775
HD154088,289,256.11848871110726,0.002099199799122582,-28.582593737024222,0.0015161814288014188
12-BOO,288,212.59880624888888,0.0034681841533627973,25.089951805555554,0.002169656968919371
HD36003,285,82.10660708101754,0.0012815879784334016,-3.5024212280701756,0.0010608451822093808
HD11977,280,28.733051661714285,0.004269622348601182,-67.64824971428571,0.002661656972494322
HD45348,280,95.98801735914286,0.0018948741930821095,-52.69835392857143,0.0019022573635669858
HD39194,277,86.12874118447654,0.006365430105257487,-70.13997285198556,0.0014318396079061985
HD128620A,277,219.88835533519855,0.0013044194800963397,-60.83409223826714,0.0018036071066599984
GL54.1,275,18.132763573854547,0.0017470804657814408,-16.996187163636364,0.0017664226164706039
HD223171,274,356.8360199373722,0.0029021283783647956,-48.276156459854015,0.0013182526258457281
GL667C,273,259.7503367961538,0.002651376920148029,-34.996995824175826,0.0019750910622686447
HR810,272,40.64287442919118,0.0021184518114959975,-50.80013680147059,0.0015616947427959929
EUROPA,271,106.65908858557195,6.97833092847583,22.5950305904059,2.2473709180061148
GL876,270,343.3228958465556,0.0024518550312827964,-14.265223925925925,0.0013347628870898957
PROXIMA,269,217.39516334821562,0.007925498686028725,-62.67853223048328,0.0019218096859640193
HD215456,269,341.53498884769516,0.0022767359077640235,-48.979206951672865,0.0011382211513769303
HD31527,268,73.9117867763806,0.002143317388570153,-23.24060563432836,0.0027626966635050576
HD20807,266,49.56537503454887,0.04128095957221578,-62.505728947368425,0.004490292130369554
GJ588,265,233.04668895162266,0.0015870172646241785,-41.28242962264151,0.0020351760424414046
HD31128,264,73.04298806632575,0.0022238463031163795,-27.064200037878788,0.004092418521139693
GL674,264,262.16990429272727,0.002155096534228711,-46.89962234848485,0.003507230523720835
HD179079,261,287.78877257697314,0.0017007543953332387,-2.639473869731801,0.0009436585749315356
HD3823,261,10.113251132452108,0.002640145438848338,-59.45409153256705,0.001295152778297763
HD199288,260,314.4143219434615,0.0020848652575066384,-44.13433723076923,0.0019281373232385324
HD93385,259,161.5645883550193,0.0020763282260730645,-41.46442853281854,0.0013375791543197043
HD-122451,255,210.957261862,0.0016114361726620645,-60.374842313725495,0.0002957795978023818
HD38858,254,87.14708032188976,0.002066090280703186,-4.094766141732284,0.0013007401646297572
HD13808,253,33.178790933438734,0.0020555489986631725,-53.7445509486166,0.0010993464370320143
GL273,250,111.85437499676,0.0019500989880131792,5.21169996,0.005416751015568531
HD147787,249,246.9934879312048,0.0037259579431989072,-64.05647759036145,0.0013106676983083664
HR5459,249,219.88710441461848,0.005632021360007624,-60.83354779116466,0.0008531008079172797
GL581,244,229.86095921758195,0.002188456238065177,-7.721597704918033,0.0013060774603060009
HD177565,241,286.7180871539834,0.01589752309278535,-37.81223751037344,0.002932490484656591
HR4748,241,187.09661444721993,0.0009205401608446734,-39.040643319502074,0.0008795816818138299
HD56274,239,108.96086401535565,0.002570993784632851,-13.048728870292887,0.0014959345396676938
HR3454,237,130.75857900801688,0.7377635903107097,3.1295021940928267,4.1377807369249515
HD20781,237,50.01478844164557,0.002101968790048854,-28.783114810126584,0.001404908037970806
HR-4731,236,186.65024335334746,0.0036266468412875213,-63.10094940677966,0.0011916380946862986
HD071155,236,126.4145217826695,0.001954947632495518,-3.9077855084745763,0.0016563536457918633
HD73524,233,129.33341249098714,0.002422992772786778,-40.14736600858369,0.0014281456327068444
GJ-570B,233,224.3660790509442,0.0018711478334619766,-21.41843150214592,0.0017953548470787245
HD16160,232,39.02396664840518,0.0036427633863804917,6.889128275862069,0.0018224068457530483
HD41248,231,90.13843327415584,0.0024727795232284294,-56.16281047619048,0.0011809378138108349
HD125184,230,214.50601467704345,0.0025772441920017017,-7.542643478260869,0.00351412434966988
18SCO,230,243.90634611713043,0.0016727018788093985,-8.371584043478261,0.0003664960937660725
HD211038,230,333.660864984,0.0026395867715220075,-15.81853956521739,0.0016006684691490761
HD87838,228,151.8899005648246,0.002531010150722229,-6.438459999999999,0.0013703535027383969
HD51608,227,103.71519805185021,0.0023976102834369776,-55.26058616740088,0.001275866121984693
HD224392,224,359.3945863126786,0.0029240834670252857,-64.299871875,0.000636202341479374
HD159492,224,264.5218032759821,0.0019132596249534111,-54.50246120535714,0.0019500899997098586
BETA-PIC,223,86.82031386112108,0.002839156375477547,-51.06778609865471,0.0013205788142488753
HR-3748,222,141.89587325675674,0.0002564605149349268,-8.65980891891892,0.0006626210827343024
HD41641,222,91.67205184914414,0.003867462273875972,6.730157162162162,0.0009205460512152549
HD50870,221,103.7389044126697,0.0037608811454240246,-3.339676515837104,0.0010242660724870429
HD21693,221,51.80402509226244,0.0024057325945664515,-58.32418411764706,0.0011527089693029117
GJ3293,218,67.1498325446789,0.002287151122993497,-25.170145825688074,0.004689836496698845
51PEG,218,344.36542775091743,0.0012248189867920705,20.76535729357798,0.0015443145366373877
HD216803,217,344.0990225334562,0.0007454534530019956,-31.565077695852537,0.0011969568820315263
HD 220339,217,350.7743932471889,0.0010796389011992263,-10.762474792626728,0.0014913252490531368
EPIC245950175,215,348.94955258265117,0.0010507993923793764,-10.849670186046511,0.001279981002629891
HD-74874,215,131.69294008013952,0.0009928217913529917,6.41742111627907,0.0006373548289655881
HD1388,214,4.498139322242991,0.002298600319575461,-13.454618785046728,0.001618897909641274
HD22879,213,55.09447307915493,0.0022417082522436654,-3.2178276525821596,0.0015474681486814404
NU_OCT,213,325.3674075100939,0.009724576977886182,-77.39298230046948,0.004337253594075087
GJ-588,212,233.04944752226416,0.002134152829870671,-41.28142476415095,0.0016547434162086131
HR3090,211,119.04992703303319,10.441331682272919,-48.019010473933655,1.2463872443352744
ACHERNAR,210,24.427539429952382,0.0013587918387781936,-57.23753557142857,0.0002524045267252252
BETA PIC,209,86.82393547827752,0.0014964845702002448,-51.06771741626794,0.001643802762806562
SW0939-2059,208,144.87530316139424,0.001176788786601551,-20.982589711538463,0.0022001387557170696
HR6930,206,277.29950686762135,0.0037146782636765805,-14.564705145631068,0.0016960484139856395
HR5460,206,219.8826700432039,0.005852544763798841,-60.83477131067961,0.0013170990779190013
HD181433,206,291.2898285473301,0.00571101237307749,-66.46845296116504,0.0012225931929942314
HD130694,204,222.5688421037255,0.0017165333739408855,-27.961663382352942,0.0015973364007703336
EPIC205071984,204,252.0584228785294,5.251034590952818,-19.586684411764704,0.6301637437492783
HD20003,204,46.904444922205876,0.006123441597222396,-72.32110916666666,0.0017820232016688554
GL229,204,92.64342825299019,0.001604887581324963,-21.867860539215688,0.004776160752158948
HD111777,202,193.04315270945546,0.0020777585074416784,-56.576905445544554,0.0009267108956319352
GJ3138,200,32.297901962400005,0.0017883922738386058,-16.338946149999998,0.0017647943714105625
HR7950,200,311.9213465765,0.0028783418931233318,-9.49561595,0.0017573618582990608
GL754,199,290.20367700437185,0.001823272098839732,-45.570497135678394,0.0019118726175583406
TOI-500,199,106.55917470864323,0.0014639775812358513,-47.58893934673367,0.0012183794815182447
HD82943,199,143.71124234703515,0.00177393075651895,-12.130516532663316,0.003941741723635247
HD32564,198,76.02782712439394,0.002948899678477594,-0.6491880303030303,0.001150128511508946
GJ654,195,256.3038721610769,0.0018394946731013896,-5.099082,0.004043992948692327
HD 176986,194,285.77459376649483,0.001340143160140245,-11.045647422680412,0.0023324968401986597
TOI-1203,194,168.2278707921134,0.001559707270613619,-34.40824618556701,0.0018399129531593429
GL436,194,175.54727428036082,0.002801178901416355,26.702961701030926,0.0016487491547962016
HD11964A,194,29.289867537216494,0.0021885823541869837,-10.24258,0.0015504045936935759
GL628,193,247.57539079906735,0.001654670668669098,-12.666934559585492,0.0049106019380078456
NONE,193,242.7400771865285,55.902796245432626,-39.296444715025906,25.530411627645766
HD43317,191,93.94825838178011,0.003734509696862819,4.283626544502618,0.0008783624697540391
EPSILON ERIDANI,190,53.22777003942105,0.0011164990636447012,-9.457564789473684,0.0008776952188791
HD133880,189,227.0519826326984,0.0012748988556613014,-40.58553952380952,0.0014746800178406187
HIP-79672,186,243.90647592666667,0.001071225769656464,-8.372065107526883,0.001055875319854988
HR718,185,37.03981738032432,0.0024708748456588056,8.459260864864865,0.0019291737102879868
SW0146+0242,185,26.632720236324325,0.0013805183204267134,2.6998935675675675,0.001331440143402626
GL693,184,266.63424469706524,0.002980624451663078,-57.32588092391305,0.0014232544537363882
GJ3135,183,31.45026775245902,0.0018809471973472696,-30.175913770491803,0.0016111679238686838
HD4628,183,12.096180061584699,0.003127420139053198,5.278169453551913,0.001582337513758261
HR9087,182,7.1912819909340655,36.57520097688576,-3.696405054945055,3.717013563009182
LRA01_E2_0165,181,100.95927141237568,0.0024240941309248386,-1.0615594475138121,0.0009597104446171646
HD36379,181,82.75079505900553,0.001858199452376999,-10.081596187845303,0.0014193200046606152
HD199847,179,315.66216394698324,0.003043832236046771,-61.882666424581004,0.0015195429378836672
HD216435,178,343.4093438319663,0.0015806322045266645,-48.59834719101124,0.001499026040684762
HR98,177,6.458423494350282,0.010472906106260713,-77.25149446327684,0.0018548575263984133
HD 170493,176,277.4700320824432,0.001047125035439398,-1.8193623863636363,0.0023710930544218337
EPS RET,174,64.11940841885057,0.0029477607652001353,-59.30384862068966,0.003086895169248179
HD   8389,174,20.76507534408046,0.0011015718485865977,-12.965625057471264,0.0017244292838673526
HD128898,174,220.62467422999998,0.0024000268756848215,-64.97625229885057,0.0010816346023760856
GJ1214,173,258.8316974111561,0.001931813469425677,4.961358670520231,0.0014679565654407228
GL393,173,157.22916101583814,0.0018618091645121618,0.8372878034682081,0.004764700242723736
HD144585,173,241.76495868393064,0.002224082972566358,-14.070541098265895,0.0013568493158295837
HD47186,172,99.03830020616279,0.002160805107120089,-27.623676220930236,0.0021477406101962568
GANIMEDE,171,106.41165006438597,0.13533082985718284,22.71466520467836,0.01916979914403116
HD-22049,171,53.23396427584795,0.0008605418221775215,-9.456643040935672,0.0010372662563437626
HD106315,171,183.47223631,0.0015450889735589715,-0.39419187134502925,0.0015079374327197873
HD176986,171,285.7757209839766,0.002209620500089421,-11.044497894736843,0.0014433609513610642
BETA VIR,171,177.67129184321638,0.0008012740506264137,1.7603680116959062,0.0005427247378171569
GL447,170,176.93691617441178,0.0010547349851801298,0.798732411764706,0.004838309836912808
HR4963,170,197.48771910029413,0.002645448693141396,-5.5391505882352945,0.002409304868170594
GL536,170,210.26011275417648,0.0014682364287123748,-2.653419470588235,0.004714322914954728
SOLAR_SPECTRUM,169,119.91522088514793,95.58457752553421,-32.998831124260356,10.962830204880586
HD 161098,168,265.9344434055357,0.001288968928649827,-3.919171011904762,0.0024377165225202557
SW1019-0948,168,154.90922145071428,0.0017227299305136341,-9.804897619047619,0.001964184777975216
GL87,167,33.08013717820359,0.002064838611056002,3.5682402994011975,0.0016820793303753176
SUN-SKY,164,206.1882623262805,149.06949514332504,-33.81739475609756,11.415354006820266
HD77110,162,134.82594367765432,0.0021528098942793254,-35.310149814814814,0.0010747898666333482
GL514,162,202.5029263112963,0.0013116038942925555,10.370563950617283,0.005078778690919801
HD216385,162,343.101447458642,0.004045764684593744,9.834687592592593,0.001973184771770557
HD61986,161,115.22816891267081,0.002133531332856438,-26.364412049689438,0.001409420145844717
HD90156,161,155.98220286403728,0.0018998167693251697,-29.644070745341615,0.0013809822377514075
IX_VEL,160,123.82971490243749,0.0018818134221708675,-49.223548625,0.0016104710383634618
GAMMA-SER,160,239.11399542662497,0.0003743688937206839,15.6588738125,9.291824955569323e-05
HD102647,160,177.2622648865625,0.0020067278699762506,14.569200375,0.001045271405578687
HD197197,159,310.6541055672327,0.0015750344043999399,-13.095047798742138,0.0018022073834359172
LHS1723,159,75.48680323861636,0.0013320020026276792,-6.949038805031447,0.0052347807571731415
GJ-887,159,346.50521464679247,0.005445861603886602,-35.849808993710695,0.0031100586495760633
TOI-1233,158,186.5732740463924,0.0018026836355255118,-51.36441620253164,0.0011453448331149622
HD77338,158,135.30212604892407,0.0025153845221389287,-25.529146012658227,0.0021487617349235464
ACRUX,158,186.64650255797469,0.0019482750473423164,-63.100288227848104,0.0015264122703352449
HD 33793,158,77.97618412544304,0.0014513470638401152,-45.05503702531646,0.0020629446857401176
HD169689,157,276.4092135941401,0.0021989061499726593,8.029965286624204,0.0012134473885405945
LP816-60,157,313.1362403622293,0.0012314197161615598,-16.974094777070064,0.001645100957850638
HD161098,156,265.93536816730773,0.002362239814406939,-3.918097435897436,0.001292972006180781
GL701,155,271.2842557809032,0.0014993300680106844,-3.032693741935484,0.0013366769944589932
HD125248,153,214.66128526071896,0.0011445556213238882,-18.713721764705884,0.0018224467061869756
HD71835,153,127.05097721104575,0.0021218694218430763,-36.72244535947712,0.0011304825623937027
HD220507,153,351.17504049352937,0.002265010857327835,-52.70340594771242,0.0012035853444913218
HD218396,153,346.86736025633985,0.001290334519831922,21.13080732026144,0.002538790378816159
GL752A,153,289.22802635941173,0.0017623543648521696,5.1633137908496725,0.001521265490574158
EPIC206011496,153,342.0319919947059,0.001171655287981725,-14.494430130718953,0.0014246269072654347
TOI-4399,152,287.7350882633553,0.08792552119563432,-60.27377401315789,0.0015636890749132918
HD-36705,152,82.19102306802631,0.003242026548222488,-65.44946125,0.0011118550291890892
L-CAR,151,146.31321536927152,0.0029108069471279886,-62.50878721854305,0.0012084580582682294
SW1042-0350,151,160.55904320403974,0.0014211934972384868,-3.835260331125828,0.0015111900022690915
HD43834,151,92.56794622483443,0.007129421962181691,-74.75362609271522,0.0005305908323493592
HD114853,150,198.37629531453334,1.1130136063938012,-45.1514358,0.4350691070821666
HD111998,150,193.29776813106668,0.0030359324784818664,-3.5530264000000003,0.0013105412990988853
GL678.1A,150,262.59436446293336,0.0016924715603798715,5.547177133333333,0.0010623763009979016
HD78429,150,136.66219581446666,0.0019418180659640173,-43.491825866666666,0.0009722499931681762
HD26967,150,63.50002239373333,0.00014980577629072144,-42.2940788,0.0003150879710866147
SW0415-2206,148,63.75734522716217,0.0015573550695409098,-22.116935472972973,0.0018189255759837996
HR5501,147,221.3761373789796,0.002139568547594095,0.7173245578231292,0.0023138508586966313
EPS IND,146,330.8843079812329,0.0015860319917628404,-56.80230993150685,0.0017117168218052094
HD-24712,146,58.82202331773973,0.0005447959229530752,-12.100009726027396,0.0013030939020370208
HD 34721,146,79.7140028860959,0.0013477715500140328,-18.13164191780822,0.0033065784618308935
HD178484,146,287.215896289863,0.0017811148419140076,-2.2885531506849315,0.001018313516809382
HD32147,145,75.20517843655172,0.002075124643021011,-5.756269310344828,0.0018511327820087482
TAU-BOO,144,206.81503534722222,0.0032441758742331717,17.455570625,0.0023410018830485346
HR1544,144,72.65341263687499,0.0025338226796464613,8.899224166666666,0.0018804290166638195
HD74698,144,130.07534433027777,0.007646090892186161,-71.87620986111112,0.0022333226480932026
HD119419,144,206.07105094520833,0.001629797395161928,-51.01078041666667,0.002502442687768903
HD106116,144,183.12034092791666,0.002562978345993567,-3.0825847222222222,0.0011619419147317388
HD93083,143,161.08732209573427,0.001987993676659831,-33.57742636363636,0.0015671340781654426
HD126525,142,216.88656898302816,0.0026436475555194133,-51.93362464788733,0.0013523615603912205
C15-0734,142,231.74190420957746,0.0014252708599082333,-16.508867746478874,0.0016432174779858171
L98-59,141,124.53229351446808,0.004243034017767215,-68.31616411347518,0.0005642758582188318
WASP-18,141,24.356464328226952,0.0024475500531764534,-45.678558652482266,0.0010689101391182822
HD 197481,141,310.0827273068794,7.575866189397792,-31.235673546099292,0.4467570505449487
HD45546,141,96.99176394794327,0.0027991210871682877,-4.761535886524823,0.0018104127670319858
HD68146,141,122.66741845361703,0.0024146462869086417,-13.798763617021276,0.0013174592845940983
HD82516,140,142.75031473421427,0.0020442085522604327,-47.386040214285714,0.003452722097391615
SW0710-3906,140,107.60157976985715,0.0021462170164467595,-39.09734035714286,0.001078166849997469
GL880,140,344.1395709624286,0.0019151872021645196,16.55018085714286,0.0018444290944586658
HD 136351,140,230.53373376835714,0.001543297193678114,-47.93032821428571,0.002067785200935874
HD134987,140,228.36933980564285,0.0026599938328332614,-25.30996957142857,0.0014098552767353135
HD129642,140,221.2870717282857,0.0023628024350704517,-49.91805907142857,0.0012243535345626113
2M1129-0127,139,172.3351437352518,0.0012709065177077038,-1.456443309352518,0.007599486289702342
HR1996,139,86.50065573395683,0.0018331987015626139,-32.30623273381295,0.002340328481139298
ROSS  128,138,176.93864430369564,0.0009338452181243411,0.7970565942028985,0.0015157906064473675
HD125595,138,215.34691471007247,0.0017265295730706333,-40.39348920289855,0.001146894290367679
HD-81009,138,140.7140146837681,0.0013717444462252413,-9.838699347826088,0.0010992513753291854
HD114076,138,197.13993686391305,0.002358671311110666,-41.64477884057971,0.000917806073743662
GJ4100,138,287.66014549507247,0.0012094900374607397,1.5354534057971014,0.0012698269876846929
HD10647,137,25.62387828861314,0.001468396463613624,-53.740771240875915,0.0014698361479639809
HD105690,137,182.5292167779562,0.0023254596673338607,-49.1819096350365,0.0010699645463911746
HD102438,137,176.8154690367153,0.00218857716162655,-30.28774379562044,0.003382318455495045
HD147584,137,247.11901141277374,0.0038572320424470736,-70.08191700729927,0.0006029588379250542
GJ3341,137,78.94874197080293,0.0020990023288239624,-31.293992116788324,0.0017493416537520154
HIP-77052,136,236.00781529625,0.0009816350419780445,2.513799338235294,0.0007033351260700696
HD45418,136,96.75549850279411,0.0027631966884598498,-4.355056617647058,0.0017853034685859615
BETA-AQL,135,298.8237913994815,0.0006892797855275077,6.403850888888889,0.0011451594861662448
HD216770,135,343.9755299176296,0.00204157400188124,-26.659187185185186,0.0018264404055427551
HD168871,134,276.14120990858214,0.0030907763978930513,-49.6530776119403,0.0019675988875053466
HD7449,134,18.62262820716418,0.002346363331223346,-5.046795447761194,0.001395487149517985
HD095086,133,164.26333667706766,0.002629583135257434,-68.66877849624059,0.0008992972814241249
HD94771,133,163.97583851330825,0.0021738106773748754,-35.114085639097745,0.0016391800210718106
ALPHACENB,132,219.87929434969695,0.020262360396037675,-60.835232045454546,0.000636713578561771
HD137676,132,232.32870974310606,0.0023392975370688037,-49.95403045454545,0.000911409330315694
49-CNC,132,131.1896971275,0.00320766007661813,10.080871818181818,0.00131437897458324
HD206998,131,326.9340573525191,0.0023586209888602086,-55.6567006870229,0.0014200791910956936
HD219834,131,349.7792294680916,0.0031228061241097434,-13.458913282442747,0.001934293925142795
GL551,130,217.39692434676923,0.012088658491167149,-62.67773992307693,0.0014134215433265894
GL358,130,144.94104439346154,0.0018679933346021746,-41.06753638461539,0.0011968051811474597
TOI-431,130,83.26987311130769,0.0018757146311469068,-26.723539923076924,0.0013896341028392216
HD-188041,130,298.3268285556923,0.002532096219522935,-3.1150995384615383,0.0009588881332030586
HD119173,130,205.42753031423075,0.0019046759385324206,-4.029799923076923,0.0013412995527322714
