seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
155 ,PNG 007.2+01.8,IC 4670                            ,PN ,268.779296 -21.744456              ,268.865680 +01.690035              ,007.275465 +01.844244              ,      -3.8 -0.7 ,         ,12.0        ,         ,15.03    ,13.28    ,13.88    ,         ,13.56    ,12.17    ,11.79    ,10.58    ,         ,         ,         ,         ,         ,               ,                           ,0.10000000 0.09483500,0       ,0        ,0        , 144,   2
156 ,PNG 007.5+04.3,PN Th 4-1                          ,PN ,266.5867433943300 -20.2300767174300,266.7926185714606 +03.1712257239594,007.5347916239171 +04.3773245342021,  -1.858 -3.264 ,0.0957   ,-134        ,         ,         ,         ,         ,15.887763,         ,14.078   ,12.883   ,11.480   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  34,   0
157 ,PNG 007.5+07.4,PN M 1-22                          ,PN ,263.792662 -18.572336              ,264.096846 +04.739852              ,007.571136 +07.490430              ,                ,         ,-2          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.100 0.100          ,0       ,0        ,0        ,  43,   0
158 ,PNG 007.6+06.9,PN M 1-23                          ,PN ,264.34171 -18.77828                ,264.62678 +04.55554                ,007.67164 +06.93996                ,                ,         ,-66         ,         ,         ,         ,         ,         ,         ,15.011   ,14.964   ,13.953   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
159 ,PNG 007.8-03.7,PN M 2-34                          ,PN ,274.31625 -23.98158                ,273.94326 -00.60135                ,007.81255 -03.69997                ,                ,         ,79          ,         ,         ,15.00    ,         ,         ,         ,12.820   ,11.991   ,11.680   ,         ,         ,         ,         ,         ,[WC]           ,                           ,                     ,0       ,0        ,0        ,  50,   0
160 ,PNG 007.8-04.4,PN H 1-65                          ,PN ,275.0368610383400 -24.2514634681900,274.5919304641719 -00.8924181570310,007.8829260099418 -04.4074286616093,  -4.962 -7.021 ,0.0328   ,110         ,         ,12       ,14.30    ,         ,14.510221,         ,12.793   ,12.545   ,12.061   ,         ,         ,         ,         ,         ,[WC11]         ,                           ,0.087 0.087          ,0       ,0        ,0        ,  80,   0
161 ,PNG 007.9+10.1,PN G007.9+10.1                     ,PN ,261.6586917995700 -16.8083365243500,261.9670691960757 +06.3986650179363,007.9825303641114 +10.1511303394270,  -1.709 -4.686 ,0.2259   ,-45         ,         ,         ,         ,         ,15.545984,         ,14.053   ,13.259   ,12.198   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  20,   0
162 ,PNG 008.0+03.9,NGC 6445                           ,PN ,267.31337 -20.00958                ,267.47120 +03.40613                ,008.07572 +03.90503                ,                ,         ,-8          ,         ,18.9     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.05000000 1.00338161,0       ,0        ,0        , 289,   0
163 ,PNG 008.1-04.7,PN M 2-39                          ,PN ,275.5048420606100 -24.1777546916000,275.0211935747389 -00.8343565378278,008.1477077755441 -04.7508435804596,  -1.265 -3.573 ,0.0508   ,83          ,         ,         ,15.00    ,         ,14.409179,         ,         ,         ,         ,         ,         ,         ,         ,         ,wels           ,                           ,0.053 0.053          ,0       ,0        ,0        ,  74,   0
164 ,PNG 008.2+06.8,PN SaSt 2-15                       ,PN ,264.7390473849799 -18.2932744490900,264.9860770390540 +05.0545031268636,008.2866804557199 +06.8740077679244,  -2.514 -1.721 ,0.0502   ,23          ,         ,13.93    ,13.66    ,13.82    ,13.592016,         ,12.61    ,12.54    ,12.194   ,         ,13.76    ,13.02    ,13.43    ,         ,               ,                           ,                     ,0       ,0        ,0        ,  72,   0
165 ,PNG 008.2-04.8,PN M 2-42                          ,PN ,275.63367 -24.15769                ,275.13943 -00.81885                ,008.22025 -04.84566                ,                ,         ,119         ,         ,         ,13.90    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.067 0.067          ,0       ,0        ,0        ,  73,   0
166 ,PNG 008.3-01.1,PN M 1-40                          ,PN ,272.108287 -22.281369              ,271.951200 +01.143649              ,008.335069 -01.103741              ,                ,         ,-34.4       ,         ,11       ,         ,         ,         ,         ,12.58    ,12.02    ,10.88    ,         ,         ,         ,         ,         ,               ,                           ,0.637 0.637          ,0       ,0        ,0        , 114,   1
167 ,PNG 008.3-07.3,NGC 6644                           ,PN ,278.14458 -25.12894                ,277.37330 -01.89787                ,008.39643 -07.31970                ,                ,         ,193.9       ,         ,         ,9.6      ,         ,         ,         ,11.562   ,11.599   ,10.627   ,         ,         ,         ,         ,         ,               ,                           ,0.04547583 0.04537917,0       ,0        ,0        , 190,   0
168 ,PNG 008.4-03.6,PN H 1-64                          ,PN ,274.5993146355900 -23.4159675338900,274.2198237886439 -00.0440173353836,008.4348697152157 -03.6623740571338,  -5.636 -6.921 ,0.2313   ,70          ,         ,         ,17.30    ,         ,17.657236,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   0
169 ,PNG 008.6-02.6,PN MaC 1-11                        ,PN ,273.71204 -22.73214                ,273.42357 +00.66305                ,008.65160 -02.61973                ,                ,         ,-89.0       ,         ,         ,         ,         ,         ,         ,14.179   ,13.779   ,13.107   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
170 ,PNG 008.6-07.0,WRAY 16-413                        ,PN ,277.9701418590000 -24.7715809006500,277.2352572788636 -01.5322399878596,008.6469015454060 -07.0180943357782,                ,         ,26          ,         ,         ,16.30    ,         ,21.076775,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  36,   0
171 ,PNG 008.8+05.2,PN Th 4-2                          ,PN ,266.540887 -18.658581              ,266.711639 +04.741240              ,008.864368 +05.223557              ,                ,         ,47          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  30,   0
172 ,PNG 009.0+04.1,PN Th 4-5                          ,PN ,267.618237 -19.052781              ,267.742230 +04.367851              ,009.047671 +04.145846              ,                ,         ,-32         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.117 0.117          ,0       ,0        ,0        ,  46,   0
173 ,PNG 009.3+02.8,PN Th 4-9                          ,PN ,269.0025116040199 -19.4907671959800,269.0574507132029 +03.9452658636906,009.3302790962953 +02.7968768432618,  -1.928 -3.642 ,         ,64.0        ,         ,         ,         ,         ,17.102333,         ,14.431   ,13.529   ,12.214   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  23,   0
174 ,PNG 009.3+04.1,PN Th 4-6                          ,PN ,267.73850 -18.78011                ,267.85191 +04.64232                ,009.34109 +04.18645                ,                ,         ,16          ,         ,         ,         ,         ,         ,         ,14.708   ,14.726   ,13.784   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32,   0
175 ,PNG 009.4-05.0,NGC 6629                           ,PN ,276.4268924064900 -23.2029309965100,275.9051402834336 +00.1047201523837,009.4070034318984 -05.0490485374768,   -1.090 3.944 ,0.486    ,13.0        ,         ,11.90    ,9.9      ,         ,12.701679,         ,10.416   ,10.153   ,9.598    ,         ,         ,         ,         ,         ,[WC5/6]        ,                           ,0.350 0.308          ,0       ,0        ,0        , 260,   0
176 ,PNG 009.4-09.8,PN M 3-32                          ,PN ,281.17929 -25.35967                ,280.09843 -02.31142                ,009.40425 -09.88767                ,                ,         ,50          ,         ,         ,         ,         ,         ,         ,14.008   ,13.835   ,13.355   ,         ,         ,         ,         ,         ,               ,                           ,0.127 0.127          ,0       ,0        ,0        ,  67,   0
177 ,PNG 009.6+10.5,PN A66 41                          ,PN ,262.2584411904600 -15.2179116986000,262.4573118743666 +08.0189164191120,009.6620429286117 +10.5141063819791,  -1.938 -3.813 ,0.0123   ,30          ,         ,16.06    ,15.95    ,         ,16.238518,         ,15.690   ,15.806   ,15.162   ,         ,         ,         ,         ,         ,sdO            ,                           ,0.307 0.307          ,0       ,0        ,0        , 134,   1
178 ,PNG 009.6+14.8,NGC 6309                           ,PN ,258.5179477501499 -12.9105259088500,258.6344067037338 +10.0769012541032,009.6548491100204 +14.8137163080592,   -2.031 3.203 ,0.383    ,-40         ,         ,11.6     ,         ,         ,16.053885,         ,11.597   ,11.540   ,10.932   ,         ,         ,         ,         ,         ,O(He)          ,                           ,0.427 0.299          ,0       ,0        ,0        , 303,   1
179 ,PNG 009.6-10.6,PN M 3-33                          ,PN ,282.0505848474000 -25.4812288173200,280.8737706379374 -02.4956646538174,009.6340109508553 -10.6511700626524,  -4.780 -5.648 ,0.1644   ,176         ,         ,         ,13.20    ,         ,15.828340,         ,13.961   ,14.045   ,13.103   ,         ,         ,         ,         ,         ,               ,                           ,0.163 0.163          ,0       ,0        ,0        ,  77,   0
180 ,PNG 009.8-04.6,PN H 1-67                          ,PN ,276.270733 -22.581289              ,275.788762 +00.732089              ,009.894084 -04.634829              ,                ,         ,22          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC2/3]        ,                           ,0.100 0.100          ,0       ,0        ,0        ,  59,   0
181 ,PNG 009.8-07.5,PN GJJC 1                          ,PN ,279.095083 -23.921739              ,278.308742 -00.744386              ,009.874997 -07.555371              ,    10.48 -5.84 ,         ,-158        ,         ,         ,         ,13.52    ,         ,12.44    ,10.901   ,10.025   ,9.702    ,         ,         ,         ,         ,         ,               ,                           ,                     ,1       ,0        ,0        ,  95,   0
182 ,PNG 010.1+00.7,NGC 6537                           ,PN ,271.304600 -19.843022              ,271.229550 +03.590706              ,010.098881 +00.739400              ,      17.5 -1.4 ,         ,-17.3       ,         ,         ,13.58    ,         ,         ,         ,10.548   ,10.176   ,9.172    ,         ,         ,         ,         ,         ,               ,                           ,0.257 0.185          ,0       ,0        ,0        , 418,   1
183 ,PNG 010.4+04.5,PN M 2-17                          ,PN ,268.020400 -17.601453              ,268.103324 +05.824811              ,010.496391 +04.552508              ,                ,         ,-46         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.133 0.133          ,0       ,0        ,0        ,  48,   0
184 ,PNG 010.6+03.2,PN Th 4-10                         ,PN ,269.277496 -18.112064              ,269.310327 +05.325503              ,010.656077 +03.261374              ,                ,         ,28.0        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  39,   0
185 ,PNG 010.7+07.4,PN Sa 2-230                        ,PN ,265.508362 -15.935406              ,265.644610 +07.436009              ,010.702154 +07.471129              ,                ,         ,116         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
186 ,PNG 010.7-06.4,IC 4732                            ,PN ,278.4776419505300 -22.6448285181200,277.8202200694113 +00.5646232244516,010.7702385508607 -06.4770976678486,                ,         ,-141        ,         ,12.5     ,         ,         ,15.171327,         ,12.876   ,12.804   ,11.897   ,         ,         ,         ,         ,         ,               ,                           ,0.03030300 0.02842467,0       ,0        ,0        , 145,   0
187 ,PNG 010.7-06.7,PN Pe 1-13                         ,PN ,278.71488 -22.72178                ,278.03415 +00.47480                ,010.80001 -06.70722                ,                ,         ,-84         ,         ,         ,         ,         ,         ,         ,14.264   ,13.516   ,13.309   ,         ,         ,         ,         ,         ,               ,                           ,0.117 0.117          ,0       ,0        ,0        ,  44,   0
188 ,PNG 010.8+18.0,PN M 2-9                           ,PN ,256.408133 -10.142939              ,256.285279 +12.651595              ,010.898830 +18.055478              ,                ,         ,87.5        ,         ,12.59    ,14.7     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,Be             ,                           ,0.767 0.767          ,0       ,0        ,0        , 513,   0
189 ,PNG 010.8-01.8,NGC 6578                           ,PN ,274.068821 -20.450742              ,273.817003 +02.934660              ,010.818060 -01.827010              ,                ,         ,4.5         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC4/6]        ,                           ,0.17081167 0.16239850,0       ,0        ,0        , 201,   0
190 ,PNG 011.0+05.8,NGC 6439                           ,PN ,267.082583 -16.479006              ,267.181909 +06.931756              ,011.011581 +05.894379              ,      -29.8 7.2 ,         ,-109        ,         ,         ,12.2     ,         ,         ,         ,12.621   ,12.652   ,11.761   ,         ,         ,         ,         ,         ,               ,                           ,0.083 0.083          ,0       ,0        ,0        , 173,   0
191 ,PNG 011.0+06.2,PN M 2-15                          ,PN ,266.726871 -16.290222              ,266.834027 +07.113110              ,011.000153 +06.284216              ,                ,         ,-33         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.097 0.097          ,0       ,0        ,0        ,  60,   0
192 ,PNG 011.0-05.1,PN M 1-47                          ,PN ,277.2964250052300 -21.7816857254500,276.7752540941041 +01.4861697854469,011.0448414631449 -05.1110105241185,  -3.253 -4.838 ,0.1625   ,-69         ,         ,         ,         ,         ,15.354854,         ,14.357   ,14.432   ,13.741   ,         ,         ,         ,         ,         ,               ,                           ,0.093 0.093          ,0       ,0        ,0        ,  42,   0
193 ,PNG 011.1+07.0,PN Sa 2-237                        ,PN ,266.176175 -15.753181              ,266.287027 +07.636845              ,011.192526 +07.013644              ,                ,         ,-81         ,         ,16.1     ,15.5     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  34,   0
194 ,PNG 011.1+11.5,PN M 2-13                          ,PN ,262.1424682099331 -13.4390952475535,262.2453558347543 +09.7889354466527,011.1391386142825 +11.5509135923951,                ,         ,38          ,         ,         ,         ,         ,15.9458  ,         ,14.031   ,14.017   ,13.107   ,         ,         ,         ,         ,         ,               ,                           ,0.027 0.027          ,0       ,0        ,0        ,  62,   0
195 ,PNG 011.3+02.8,PN Th 4-11                         ,PN ,270.0366144461600 -17.6787040208000,270.0350692359508 +05.7605881615916,011.3922464053887 +02.8499815857409,  -2.560 -3.394 ,0.2435   ,-62.0       ,         ,         ,         ,         ,14.774828,         ,10.082   ,8.227    ,6.804    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  34,   0
196 ,PNG 011.3-09.4,PN H 2-48                          ,PN ,281.6463260198200 -23.4467392968900,280.6732060233561 -00.4379165280002,011.3413742235594 -09.4477097972389,   4.865 -5.508 ,0.2121   ,3           ,         ,         ,13       ,         ,13.206855,         ,11.537   ,11.513   ,10.896   ,         ,         ,         ,         ,         ,OIII-V         ,                           ,                     ,0       ,0        ,0        ,  84,   0
197 ,PNG 011.7-00.0,PN M 1-43                          ,PN ,272.95379 -18.77256                ,272.80573 +04.63798                ,011.79007 -00.10220                ,                ,         ,            ,         ,         ,         ,         ,         ,         ,12.620   ,12.255   ,11.812   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
198 ,PNG 011.7-00.6,NGC 6567                           ,PN ,273.4381819347300 -19.0761310103200,273.2584588939648 +04.3242848437929,011.7435634350208 -00.6498794523006,  -2.693 -4.678 ,0.35     ,119.8       ,         ,         ,10.9     ,         ,14.223682,         ,11.759   ,11.561   ,10.298   ,         ,         ,         ,         ,         ,[WC5/6]        ,                           ,0.12884083 0.12506567,0       ,0        ,0        , 266,   1
199 ,PNG 011.7-06.6,PN M 1-55                          ,PN ,279.1410746611183 -21.8174150626145,278.4837001711778 +01.3530813027574,011.7919592255625 -06.6545197932994,  -5.458 -6.171 ,0.1588   ,-30         ,         ,         ,         ,14.02    ,13.5862  ,13.20    ,12.81    ,12.74    ,12.33    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  46,   0
200 ,PNG 011.9+04.2,PN M 1-32                          ,PN ,269.08379 -16.48461                ,269.11495 +06.95187                ,011.97700 +04.23372                ,                ,         ,-86         ,         ,18.3     ,17.0     ,         ,         ,         ,12.315   ,11.912   ,11.113   ,         ,         ,         ,         ,         ,[WC4/5]        ,                           ,0.127 0.127          ,0       ,0        ,0        ,  98,   1
201 ,PNG 012.2+04.9,PN HuBi 1                          ,PN ,268.58804 -15.93111                ,268.63057 +07.50147                ,012.21938 +04.92264                ,                ,         ,43          ,         ,15.42    ,14.90    ,         ,         ,         ,13.213   ,11.069   ,8.828    ,         ,         ,         ,         ,         ,[WC11]         ,                           ,                     ,0       ,0        ,0        ,  93,   0
202 ,PNG 012.5-09.8,PN M 1-62                          ,PN ,282.6085292917300 -22.5729744153500,281.6287719797238 +00.3587767725950,012.5280048462922 -09.8712318934401,  -1.354 -7.392 ,0.0889   ,41          ,         ,         ,         ,         ,17.097765,         ,14.406   ,14.354   ,13.579   ,         ,         ,         ,         ,         ,[WC]           ,                           ,                     ,0       ,0        ,0        ,  46,   0
203 ,PNG 012.6-02.7,PN M 1-45                          ,PN ,275.7832634222100 -19.2848120484800,275.4714172078452 +04.0447109634593,012.6073837096759 -02.7001941621176,  -1.733 -8.605 ,0.1075   ,139.8       ,         ,         ,         ,         ,16.069891,         ,13.276   ,12.908   ,12.223   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  53,   0
204 ,PNG 013.0-04.3,PN Pe 2-14                         ,PN ,277.498104 -19.677150              ,277.071817 +03.578268              ,013.008726 -04.314831              ,                ,         ,81          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  33,   0
205 ,PNG 013.1+04.1,PN M 1-33                          ,PN ,269.74504 -15.53744                ,269.75201 +07.90163                ,013.11782 +04.15255                ,                ,         ,-60         ,         ,         ,         ,         ,         ,         ,12.706   ,12.617   ,11.649   ,         ,         ,         ,         ,         ,               ,                           ,0.07145300 0.07100700,0       ,0        ,0        ,  62,   1
206 ,PNG 013.3+32.7,PN Sn 1                            ,PN ,245.2683290082700 -00.2696334888700,243.3927519657833 +20.9142478484722,013.3195024759699 +32.7354666400737,  -4.853 -3.063 ,         ,-125.5      ,         ,         ,         ,         ,14.677213,         ,14.059   ,14.353   ,13.788   ,         ,         ,         ,         ,         ,               ,                           ,0.050 0.050          ,0       ,0        ,0        ,  91,   0
207 ,PNG 013.4-03.9,PN M 1-48                          ,PN ,277.3752307582299 -19.0955426974500,276.9858807782849 +04.1650815645996,013.4733543660241 -03.9447737122869,  -1.022 -0.385 ,0.5316   ,121         ,         ,         ,         ,         ,19.027197,         ,15.043   ,         ,14.350   ,         ,         ,         ,         ,         ,               ,                           ,0.080 0.080          ,0       ,0        ,0        ,  53,   1
208 ,PNG 013.7-10.6,PN Y-C 2-32                        ,PN ,283.8777940530100 -21.8277253816200,282.8670489841774 +00.9938259297685,013.7225280446747 -10.6159803981309,  -2.015 -7.294 ,0.0842   ,37          ,         ,         ,         ,         ,16.015604,         ,14.891   ,15.068   ,14.285   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  34,   0
209 ,PNG 013.8-02.8,PN SaWe 3                          ,PN ,276.5181721863000 -18.2086314894700,276.2150775459872 +05.0901497645237,013.8853124346183 -02.8147762525611,  -4.784 -4.354 ,0.0664   ,            ,         ,         ,         ,         ,17.901819,         ,15.100   ,14.251   ,13.883   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  19,   0
210 ,PNG 013.8-07.9,PN PC 21                           ,PN ,281.396729 -20.582867              ,280.670156 +02.435285              ,013.847663 -07.992182              ,                ,         ,42          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31,   0
211 ,PNG 014.0-05.5,PN V-V 3-5                         ,PN ,279.1343567367800 -19.3247421827300,278.6352282972623 +03.8411624168473,014.0281765812492 -05.5279021933941,   1.510 -0.425 ,0.671    ,-42         ,         ,12.20    ,11.72    ,         ,13.276387,         ,11.985   ,11.844   ,11.723   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  47,   0
212 ,PNG 014.2+04.2,PN Sa 3-111                        ,PN ,270.27812 -14.50592                ,270.27257 +08.93312                ,014.27218 +04.21317                ,                ,         ,            ,         ,         ,         ,         ,         ,         ,11.046   ,9.797    ,8.970    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  17,   0
213 ,PNG 014.2-07.3,PN M 3-31                          ,PN ,281.0073859150400 -19.9146510844200,280.3572991582395 +03.1297576415453,014.2905141365094 -07.3698245827634,                ,         ,-95         ,         ,         ,         ,         ,14.737168,         ,13.726   ,13.506   ,12.480   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  32,   0
214 ,PNG 014.3-05.5,PN V-V 3                           ,PN ,279.29629 -19.03942                ,278.80649 +04.11614                ,014.35333 -05.53560                ,                ,         ,-29         ,         ,         ,         ,         ,         ,         ,14.318   ,14.051   ,12.980   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  43,   0
215 ,PNG 014.6-04.3,PN M 1-50                          ,PN ,278.33700 -18.27697                ,277.94326 +04.93274                ,014.62134 -04.37971                ,                ,         ,5           ,         ,         ,         ,         ,         ,         ,13.329   ,13.237   ,12.303   ,         ,         ,         ,         ,         ,               ,                           ,0.093 0.093          ,0       ,0        ,0        ,  84,   0
216 ,PNG 014.7-11.8,PN SaWe 4                          ,PN ,285.5671 -21.4475                  ,284.4680 +01.2133                  ,014.7486 -11.8799                  ,                ,         ,20          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13,   0
217 ,PNG 014.8-25.6,PN HDW 12                          ,PN ,299.5545123654099 -26.4711586312800,296.3419912294261 -05.6943248320754,014.8802656805044 -25.6023022546752,  -10.246 1.099 ,1.5276   ,            ,         ,18.2     ,18.5     ,         ,18.508408,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  16,   0
218 ,PNG 014.9+06.4,PN K 2-5                           ,PN ,268.609079 -12.809986              ,268.620058 +10.622648              ,014.948674 +06.460992              ,                ,         ,-5          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.410 0.410          ,0       ,0        ,0        ,  35,   0
219 ,PNG 014.9-03.1,PN SaSt 3-166                      ,PN ,277.2969463257100 -17.4536172660400,276.9953960806716 +05.8086613863561,014.8991242537492 -03.1223490981236,  -3.827 -7.632 ,0.1033   ,            ,         ,16.0     ,14.2     ,         ,17.402424,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  13,   0
220 ,PNG 015.4-04.5,PN M 1-53                          ,PN ,278.951112 -17.602419              ,278.569587 +05.570996              ,015.490606 -04.592706              ,                ,         ,46          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,O3If           ,                           ,0.100 0.100          ,0       ,0        ,0        ,  66,   0
221 ,PNG 015.6-03.0,PN A66 44                          ,PN ,277.546842 -16.757311              ,277.271493 +06.491693              ,015.628142 -03.013068              ,                ,         ,44.0        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.10000000 0.93757832,0       ,0        ,0        ,  42,   0
222 ,PNG 015.9+03.3,PN M 1-39                          ,PN ,271.8780 -13.4802                  ,271.8541 +09.9470                  ,015.9282 +03.3578                  ,                ,         ,87          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.06820517 0.06689683,0       ,0        ,0        ,  59,   1
223 ,PNG 016.0+13.5,PN A66 42                          ,PN ,262.8711145062800 -08.3194210087000,262.6984479724754 +14.9393693081928,016.0045569987782 +13.5943077292005,  -1.758 -6.351 ,0.289    ,10          ,         ,20.2     ,20.2     ,         ,19.755779,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  30,   0
224 ,PNG 016.0-04.3,PN M 1-54                          ,PN ,279.034821 -16.999172              ,278.687677 +06.168068              ,016.066016 -04.389658              ,                ,         ,-42         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.217 0.217          ,0       ,0        ,0        ,  81,   0
225 ,PNG 016.1-04.7,PN M 1-56                          ,PN ,279.44279 -17.09633                ,279.07286 +06.04606                ,016.15676 -04.78131                ,                ,         ,-24         ,         ,         ,         ,         ,         ,         ,13.130   ,13.009   ,12.394   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  54,   0
226 ,PNG 016.4-01.9,PN M 1-46                          ,PN ,276.9846564309399 -15.5484538992400,276.7897770885674 +07.7263699645599,016.4509414757490 -01.9751783301724,   1.562 -0.658 ,0.4172   ,29.3        ,         ,         ,12.83    ,         ,12.844423,         ,11.661   ,11.514   ,11.094   ,         ,         ,         ,         ,         ,O(H)7I(fc)     ,                           ,0.19410333 0.19307834,0       ,0        ,0        , 121,   0
227 ,PNG 016.9-02.0,PN Sa 3-134                        ,PN ,277.33258 -15.12775                ,277.14938 +08.12975                ,016.97957 -02.07755                ,                ,         ,            ,         ,         ,         ,         ,         ,         ,14.643   ,14.494   ,13.548   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  16,   0
228 ,PNG 017.3-21.9,PN A66 65                          ,PN ,296.6425382959300 -23.1369350230800,294.3675116021687 -01.9232722271475,017.3051855673830 -21.9718909655962,   0.322 -6.704 ,0.6551   ,13.0        ,         ,15.93    ,15.77    ,16.00    ,15.484852,15.65    ,15.113   ,14.985   ,14.851   ,         ,         ,         ,         ,         ,Opk            ,                           , 2.40  1.66          ,0       ,0        ,0        , 129,   0
229 ,PNG 017.6-10.2,PN A66 51                          ,PN ,285.2558007971200 -18.2042560153400,284.5202113114203 +04.4693511553117,017.6163872001701 -10.2417072013467,   7.428 -6.848 ,0.552    ,3           ,         ,15.30    ,15.42    ,         ,15.345692,         ,15.599   ,16.122   ,         ,         ,         ,         ,         ,         ,O(H)3-5Vz      ,                           ,1.117 1.117          ,0       ,0        ,0        ,  66,   0
230 ,PNG 017.7-02.9,PN M 1-52                          ,PN ,278.49375 -14.87406                ,278.29508 +08.32100                ,017.72224 -02.95610                ,                ,         ,133.1       ,         ,         ,         ,         ,         ,         ,15.174   ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.133 0.133          ,0       ,0        ,0        ,  31,   0
231 ,PNG 017.9-04.8,PN M 3-30                          ,PN ,280.312242 -15.562106              ,280.017315 +07.519315              ,017.908619 -04.831683              ,                ,         ,51          ,         ,         ,17.9     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WC2/3]        ,                           ,0.287 0.287          ,0       ,0        ,0        ,  86,   0
232 ,PNG 018.0+20.1,PN Na 1                            ,PN ,258.2161677992999 -03.2666192902800,257.4957105419547 +19.6626285800933,018.0860049385595 +20.1519183590264,  -1.350 -7.828 ,0.2042   ,18.4        ,         ,         ,         ,         ,16.586884,         ,13.253   ,13.271   ,12.475   ,         ,         ,         ,         ,         ,               ,                           ,0.223 0.183          ,0       ,0        ,0        ,  65,   0
