# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Jul  3 13:53:27 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 9.00000 2.1284861565 2.5736272335    2.127  1.660  3.6942  2.834    4  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.788e-01 3.058e-01 1.707e-03 2.318e-03 6.214e-03 -1.000 1.537e-02 0.620 -0.799 -1.291 -1.373 -1.418 -1.363 -1.381 -1.437 -1.850 -1.705 -1.574 -1.414 -1.358 -1.378 -1.661
0.0152 0.01508 9.00000 2.1298422813 2.5736773014    2.129  1.619  3.6976  2.889    4  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.788e-01 3.058e-01 1.707e-03 2.318e-03 6.213e-03 -1.000 1.537e-02 0.722 -0.685 -1.168 -1.247 -1.291 -1.238 -1.255 -1.309 -1.722 -1.576 -1.445 -1.287 -1.232 -1.250 -1.533
0.0152 0.01508 9.00000 2.1306061745 2.5737054348    2.129  1.606  3.6988  2.907    4  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.788e-01 3.058e-01 1.707e-03 2.319e-03 6.213e-03 -1.000 1.537e-02 0.754 -0.649 -1.128 -1.207 -1.250 -1.197 -1.214 -1.268 -1.681 -1.535 -1.404 -1.246 -1.192 -1.209 -1.492
0.0152 0.01508 9.00000 2.1331858635 2.5738000870    2.132  1.611  3.6988  2.903    4  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.788e-01 3.058e-01 1.706e-03 2.320e-03 6.212e-03 -1.000 1.537e-02 0.743 -0.660 -1.140 -1.219 -1.262 -1.209 -1.226 -1.280 -1.693 -1.547 -1.416 -1.258 -1.204 -1.221 -1.504
0.0152 0.01508 9.00000 2.1500000954 2.5744106770    2.149  1.632  3.6991  2.887    4  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.786e-01 3.060e-01 1.705e-03 2.327e-03 6.206e-03 -1.000 1.537e-02 0.690 -0.712 -1.190 -1.269 -1.312 -1.259 -1.276 -1.330 -1.743 -1.597 -1.466 -1.308 -1.254 -1.270 -1.554
0.0152 0.01508 9.00000 2.1750931740 2.5753018856    2.174  1.668  3.6995  2.857    5  0.000  0.366     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.783e-01 3.063e-01 1.703e-03 2.341e-03 6.193e-03 -1.000 1.537e-02 0.601 -0.800 -1.276 -1.355 -1.399 -1.346 -1.363 -1.417 -1.830 -1.684 -1.553 -1.395 -1.340 -1.357 -1.641
0.0152 0.01508 9.00000 2.2000000477 2.5761635303    2.199  1.706  3.6996  2.824    5  0.000  0.367     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.780e-01 3.066e-01 1.701e-03 2.354e-03 6.180e-03 -1.000 1.537e-02 0.504 -0.897 -1.372 -1.451 -1.495 -1.442 -1.459 -1.513 -1.926 -1.781 -1.650 -1.491 -1.437 -1.454 -1.737
0.0152 0.01508 9.00000 2.2159650326 2.5767040253    2.215  1.734  3.6995  2.799    5  0.000  0.367     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.779e-01 3.067e-01 1.700e-03 2.361e-03 6.175e-03 -1.000 1.537e-02 0.435 -0.966 -1.442 -1.521 -1.564 -1.512 -1.528 -1.583 -1.996 -1.850 -1.720 -1.560 -1.506 -1.524 -1.807
0.0152 0.01508 9.00000 2.2371671200 2.5774080753    2.236  1.773  3.6988  2.762    5  0.000  0.367     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.778e-01 3.069e-01 1.699e-03 2.369e-03 6.167e-03 -1.000 1.537e-02 0.338 -1.065 -1.543 -1.623 -1.667 -1.614 -1.630 -1.685 -2.099 -1.953 -1.823 -1.663 -1.608 -1.626 -1.910
0.0152 0.01508 9.00000 2.2500000000 2.5778269768    2.249  1.798  3.6981  2.737    5  0.000  0.367     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.777e-01 3.070e-01 1.698e-03 2.375e-03 6.163e-03 -1.000 1.537e-02 0.276 -1.130 -1.610 -1.690 -1.734 -1.681 -1.698 -1.753 -2.167 -2.021 -1.891 -1.730 -1.675 -1.694 -1.978
0.0152 0.01508 9.00000 2.2634665966 2.5782604218    2.262  1.825  3.6970  2.707    5  0.000  0.367     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.775e-01 3.071e-01 1.697e-03 2.381e-03 6.156e-03 -1.000 1.538e-02 0.207 -1.203 -1.685 -1.766 -1.812 -1.757 -1.775 -1.830 -2.244 -2.099 -1.969 -1.807 -1.752 -1.772 -2.055
0.0152 0.01508 9.00000 2.2683622837 2.5784165859    2.267  1.837  3.6963  2.693    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.774e-01 3.072e-01 1.697e-03 2.383e-03 6.154e-03 -1.000 1.539e-02 0.177 -1.235 -1.719 -1.801 -1.846 -1.792 -1.809 -1.865 -2.279 -2.134 -2.004 -1.842 -1.786 -1.807 -2.090
0.0152 0.01508 9.00000 2.2834441662 2.5788929462    2.282  1.881  3.6927  2.638    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.772e-01 3.074e-01 1.696e-03 2.391e-03 6.147e-03 -1.000 1.540e-02 0.067 -1.357 -1.852 -1.936 -1.983 -1.927 -1.944 -2.003 -2.417 -2.272 -2.142 -1.978 -1.921 -1.944 -2.228
0.0152 0.01508 9.00000 2.2918374538 2.5791547298    2.290  1.904  3.6912  2.611    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.395e-03 6.143e-03 -1.000 1.541e-02 0.010 -1.420 -1.919 -2.004 -2.051 -1.994 -2.012 -2.071 -2.486 -2.341 -2.211 -2.047 -1.988 -2.013 -2.297
0.0152 0.01508 9.00000 2.2957410812 2.5792758465    2.294  1.946  3.6866  2.551    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.397e-03 6.141e-03 -1.000 1.541e-02 -0.094 -1.538 -2.051 -2.139 -2.189 -2.130 -2.148 -2.210 -2.624 -2.480 -2.351 -2.184 -2.124 -2.151 -2.435
0.0152 0.01508 9.00000 2.2969958782 2.5793147087    2.296  1.992  3.6820  2.487    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.397e-03 6.141e-03 -1.000 1.541e-02 -0.210 -1.669 -2.196 -2.287 -2.338 -2.277 -2.296 -2.360 -2.775 -2.631 -2.502 -2.333 -2.270 -2.302 -2.586
0.0152 0.01508 9.00000 2.2974917889 2.5793299675    2.296  2.037  3.6778  2.425    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.397e-03 6.140e-03 -1.000 1.541e-02 -0.324 -1.797 -2.335 -2.429 -2.483 -2.418 -2.438 -2.505 -2.921 -2.777 -2.648 -2.477 -2.411 -2.447 -2.732
0.0152 0.01508 9.00000 2.2977018356 2.5793364048    2.296  2.081  3.6740  2.366    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.433 -1.919 -2.468 -2.565 -2.621 -2.553 -2.573 -2.644 -3.059 -2.916 -2.787 -2.615 -2.546 -2.586 -2.870
0.0152 0.01508 9.00000 2.2978007793 2.5793395042    2.296  2.123  3.6704  2.310    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.538 -2.035 -2.595 -2.694 -2.752 -2.681 -2.702 -2.776 -3.191 -3.048 -2.919 -2.746 -2.673 -2.718 -3.002
0.0152 0.01508 9.00000 2.2978482246 2.5793409348    2.296  2.154  3.6678  2.268    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.615 -2.121 -2.688 -2.790 -2.849 -2.775 -2.797 -2.873 -3.289 -3.146 -3.017 -2.843 -2.767 -2.816 -3.100
0.0152 0.01508 9.00000 2.2978527546 2.5793411732    2.296  2.157  3.6675  2.264    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.624 -2.130 -2.698 -2.800 -2.859 -2.785 -2.807 -2.884 -3.299 -3.156 -3.028 -2.853 -2.777 -2.826 -3.110
0.0152 0.01508 9.00000 2.2979097366 2.5793428421    2.296  2.182  3.6656  2.231    6  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.685 -2.197 -2.771 -2.875 -2.935 -2.859 -2.881 -2.959 -3.375 -3.232 -3.104 -2.928 -2.851 -2.902 -3.186
0.0152 0.01508 9.00000 2.2980043888 2.5793459415    2.296  2.183  3.6655  2.230    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-30      0.00 6.771e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.541e-02 -0.688 -2.201 -2.775 -2.878 -2.939 -2.863 -2.885 -2.963 -3.379 -3.236 -3.108 -2.932 -2.855 -2.906 -3.190
0.0152 0.01508 9.00000 2.2983963490 2.5793578625    2.297  2.159  3.6676  2.262    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-28      0.00 6.770e-01 3.075e-01 1.695e-03 2.398e-03 6.140e-03 -1.000 1.543e-02 -0.628 -2.135 -2.703 -2.805 -2.864 -2.790 -2.811 -2.888 -3.304 -3.161 -3.032 -2.858 -2.782 -2.831 -3.115
0.0152 0.01508 9.00000 2.2999999523 2.5794074535    2.299  2.175  3.6663  2.242    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -6.22e-19      0.00 6.770e-01 3.074e-01 1.695e-03 2.399e-03 6.139e-03 -1.000 1.553e-02 -0.667 -2.177 -2.748 -2.852 -2.911 -2.836 -2.858 -2.936 -3.351 -3.208 -3.080 -2.905 -2.828 -2.878 -3.162
0.0152 0.01508 9.00000 2.3011426926 2.5794425011    2.300  2.191  3.6650  2.220    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-12      0.00 6.770e-01 3.074e-01 1.695e-03 2.399e-03 6.139e-03 -1.000 1.560e-02 -0.708 -2.223 -2.798 -2.903 -2.963 -2.886 -2.908 -2.987 -3.403 -3.260 -3.132 -2.956 -2.878 -2.930 -3.214
0.0152 0.01508 9.00000 2.3021588326 2.5794739723    2.301  2.228  3.6620  2.172    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -7.66e-11      0.00 6.770e-01 3.074e-01 1.695e-03 2.399e-03 6.139e-03 -1.000 1.561e-02 -0.799 -2.323 -2.907 -3.014 -3.076 -2.996 -3.019 -3.101 -3.517 -3.374 -3.246 -3.069 -2.988 -3.043 -3.328
0.0152 0.01508 9.00000 2.3029012680 2.5794966221    2.301  2.265  3.6590  2.123    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -9.55e-11      0.00 6.770e-01 3.074e-01 1.695e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -0.892 -2.424 -3.017 -3.127 -3.190 -3.108 -3.131 -3.216 -3.632 -3.489 -3.362 -3.183 -3.099 -3.158 -3.443
0.0152 0.01508 9.00000 2.3035054207 2.5795152187    2.302  2.303  3.6559  2.073    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-10      0.00 6.770e-01 3.074e-01 1.695e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -0.988 -2.529 -3.132 -3.244 -3.309 -3.224 -3.248 -3.335 -3.751 -3.609 -3.482 -3.302 -3.215 -3.278 -3.562
0.0152 0.01508 9.00000 2.3040165901 2.5795309544    2.302  2.343  3.6527  2.020    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -1.087 -2.638 -3.250 -3.365 -3.432 -3.344 -3.368 -3.459 -3.874 -3.733 -3.606 -3.424 -3.334 -3.401 -3.686
0.0152 0.01508 9.00000 2.3044540882 2.5795443058    2.303  2.384  3.6493  1.965    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -1.191 -2.751 -3.370 -3.490 -3.558 -3.466 -3.492 -3.586 -3.981 -4.165 -4.288 -3.550 -3.456 -3.534 -3.802
0.0152 0.01508 9.00000 2.3048350811 2.5795559883    2.303  2.438  3.6448  1.893    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -1.326 -2.896 -3.522 -3.650 -3.720 -3.623 -3.652 -3.750 -4.102 -4.952 -5.585 -3.712 -3.613 -3.709 -3.943
0.0152 0.01508 9.00000 2.3051726818 2.5795664787    2.303  2.488  3.6407  1.827    7  0.000  0.368     0.00     0.00     0.00     0.00     0.00 -1 -2.82e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.400e-03 6.138e-03 -1.000 1.561e-02 -1.451 -3.030 -3.663 -3.798 -3.871 -3.769 -3.801 -3.901 -4.214 -5.684 -6.792 -3.862 -3.758 -3.871 -4.073
0.0152 0.01508 9.00000 2.3054764271 2.5795757771    2.303  2.530  3.6373  1.771    7  0.000  0.368     6.01     4.29     3.15     2.34     1.90  4 -3.44e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.400e-03 6.137e-03 -1.000 1.561e-02 -1.556 -3.142 -3.780 -3.921 -3.995 -3.890 -3.925 -4.026 -4.307 -6.290 -7.792 -3.986 -3.879 -4.005 -4.182
0.0152 0.01508 9.00000 2.3057568073 2.5795843601    2.304  2.571  3.6317  1.708    7  0.000  0.368     6.81     4.81     3.52     2.61     2.13  4 -4.22e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.401e-03 6.137e-03 -1.000 1.561e-02 -1.658 -3.254 -3.905 -4.055 -4.131 -4.022 -4.061 -4.161 -4.408 -6.977 -8.928 -4.122 -4.011 -4.151 -4.301
0.0152 0.01508 9.00000 2.3060109615 2.5795922279    2.304  2.610  3.6286  1.657    7  0.000  0.368     7.52     5.27     3.84     2.85     2.33  4 -5.05e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.401e-03 6.137e-03 -1.000 1.561e-02 -1.754 -3.356 -4.012 -4.168 -4.246 -4.134 -4.176 -4.274 -4.493 -7.535 -9.848 -4.236 -4.123 -4.272 -4.400
0.0152 0.01508 9.00000 2.3062500954 2.5795993805    2.304  2.647  3.6249  1.605    7  0.000  0.368     8.34     5.79     4.20     3.13     2.55  4 -6.02e-10      0.00 6.770e-01 3.074e-01 1.694e-03 2.401e-03 6.137e-03 -1.000 1.561e-02 -1.848 -3.457 -4.119 -4.283 -4.362 -4.248 -4.293 -4.389 -4.580 -8.109 -10.796 -4.352 -4.237 -4.396 -4.501
0.0152 0.01508 9.00000 2.3064775467 2.5796065331    2.304  2.684  3.6211  1.553    7  0.000  0.368     9.24     6.36     4.59     3.42     2.79  4 -7.22e-10      0.00 6.770e-01 3.074e-01 1.693e-03 2.402e-03 6.137e-03 -1.000 1.561e-02 -1.939 -3.554 -4.224 -4.395 -4.475 -4.359 -4.407 -4.500 -4.664 -8.671 -11.724 -4.465 -4.348 -4.516 -4.600
0.0152 0.01508 9.00000 2.3066964149 2.5796132088    2.304  2.720  3.6180  1.505    7  0.000  0.367    10.17     6.95     5.00     3.73     3.04  4 -8.55e-10      0.00 6.770e-01 3.074e-01 1.692e-03 2.404e-03 6.137e-03 -1.000 1.561e-02 -2.030 -3.650 -4.326 -4.503 -4.584 -4.466 -4.518 -4.606 -4.745 -9.204 -12.604 -4.574 -4.455 -4.631 -4.695
0.0152 0.01508 9.00000 2.3069105148 2.5796196461    2.304  2.756  3.6151  1.457    7  0.000  0.367    11.17     7.57     5.43     4.06     3.31  4 -1.01e-09      0.00 6.770e-01 3.074e-01 1.690e-03 2.405e-03 6.137e-03 -1.000 1.561e-02 -2.120 -3.747 -4.431 -4.613 -4.695 -4.575 -4.629 -4.717 -4.856 -9.358 -12.791 -4.684 -4.564 -4.742 -4.807
0.0152 0.01508 9.00000 2.3071246147 2.5796263218    2.304  2.794  3.6120  1.406    7  0.000  0.367    12.33     8.29     5.92     4.43     3.61  4 -1.21e-09      0.00 6.770e-01 3.074e-01 1.689e-03 2.406e-03 6.137e-03 -1.000 1.561e-02 -2.214 -3.848 -4.541 -4.728 -4.812 -4.690 -4.746 -4.833 -4.975 -9.477 -12.910 -4.801 -4.679 -4.859 -4.926
0.0152 0.01508 9.00000 2.3073394299 2.5796327591    2.303  2.840  3.6081  1.345    7  0.000  0.366    13.91     9.26     6.58     4.93     4.02  4 -1.51e-09      0.00 6.770e-01 3.074e-01 1.687e-03 2.408e-03 6.137e-03 -1.000 1.561e-02 -2.329 -3.972 -4.675 -4.868 -4.954 -4.830 -4.888 -4.974 -5.121 -9.623 -13.056 -4.943 -4.819 -5.002 -5.072
0.0152 0.01508 9.00000 2.3075363636 2.5796387196    2.303  2.908  3.6023  1.253    7  0.000  0.366    16.68    10.94     7.71     5.79     4.73  4 -2.06e-09      0.00 6.770e-01 3.074e-01 1.685e-03 2.411e-03 6.137e-03 -1.000 1.561e-02 -2.501 -4.156 -4.876 -5.078 -5.168 -5.039 -5.102 -5.187 -5.339 -9.841 -13.274 -5.155 -5.029 -5.215 -5.290
0.0152 0.01508 9.00000 2.3076479435 2.5796422958    2.303  2.969  3.5969  1.171    7  0.000  0.366    19.62    12.70     8.89     6.69     5.47  4 -2.74e-09      0.00 6.770e-01 3.074e-01 1.684e-03 2.413e-03 6.137e-03 -1.000 1.561e-02 -2.653 -4.321 -5.055 -5.266 -5.359 -5.227 -5.294 -5.377 -5.536 -10.037 -13.470 -5.346 -5.217 -5.407 -5.486
0.0152 0.01508 9.00000 2.3077178001 2.5796444416    2.303  3.014  3.5929  1.110    7  0.000  0.365    22.12    14.18     9.88     7.45     6.09  4 -3.38e-09      0.00 6.770e-01 3.074e-01 1.683e-03 2.414e-03 6.137e-03 -1.000 1.561e-02 -2.765 -4.442 -5.187 -5.405 -5.500 -5.365 -5.436 -5.518 -5.680 -10.182 -13.615 -5.486 -5.355 -5.549 -5.631
0.0152 0.01508 9.00000 2.3077747822 2.5796461105    2.303  3.051  3.5896  1.059    7  0.000  0.365    24.44    15.54    10.78     8.14     6.65  4    -4e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -2.858 -4.543 -5.297 -5.521 -5.618 -5.480 -5.554 -5.635 -5.801 -10.303 -13.736 -5.603 -5.470 -5.667 -5.752
0.0152 0.01508 9.00000 2.3078267574 2.5796477795    2.302  3.085  3.5865  1.013    7  0.000  0.365    26.75    16.88    11.67     8.82     7.21  4 -4.66e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -2.942 -4.634 -5.397 -5.625 -5.724 -5.583 -5.661 -5.742 -5.911 -10.413 -13.845 -5.709 -5.574 -5.774 -5.861
0.0152 0.01508 9.00000 2.3078775406 2.5796492100    2.302  3.116  3.5836  0.970    7  0.000  0.365    29.12    18.25    12.57     9.51     7.78  4 -5.32e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.021 -4.719 -5.489 -5.723 -5.824 -5.681 -5.762 -5.842 -6.014 -10.516 -13.948 -5.808 -5.672 -5.875 -5.964
0.0152 0.01508 9.00000 2.3079304695 2.5796508789    2.302  3.147  3.5807  0.928    7  0.000  0.365    31.65    19.70    13.53    10.25     8.38  4 -6.16e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.097 -4.803 -5.581 -5.819 -5.922 -5.777 -5.861 -5.940 -6.115 -10.617 -14.050 -5.906 -5.768 -5.974 -6.066
0.0152 0.01508 9.00000 2.3079857826 2.5796525478    2.301  3.176  3.5778  0.887    7  0.000  0.365    34.31    21.21    14.51    11.01     9.00  4 -7.03e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.171 -4.884 -5.668 -5.912 -6.017 -5.869 -5.957 -6.036 -6.214 -10.716 -14.148 -6.000 -5.861 -6.070 -6.164
0.0152 0.01508 9.00000 2.3080458641 2.5796544552    2.301  3.207  3.5748  0.844    7  0.000  0.365    37.31    22.91    15.62    11.86     9.70  4 -8.03e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.246 -4.968 -5.759 -6.008 -6.115 -5.965 -6.056 -6.135 -6.316 -10.818 -14.251 -6.097 -5.957 -6.170 -6.266
0.0152 0.01508 9.00000 2.3081102371 2.5796563625    2.300  3.236  3.5718  0.803    7  0.000  0.365    40.49    24.69    16.78    12.75    10.44  3 -9.15e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.320 -5.050 -5.848 -6.102 -6.211 -6.059 -6.153 -6.232 -6.415 -10.917 -14.350 -6.193 -6.051 -6.268 -6.366
0.0152 0.01508 9.00000 2.3081552982 2.5796577930    2.300  3.250  3.5704  0.783    7  0.000  0.365    42.08    25.58    17.36    13.20    10.80  3  -9.8e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.355 -5.088 -5.890 -6.146 -6.256 -6.103 -6.199 -6.277 -6.462 -10.964 -14.397 -6.237 -6.096 -6.314 -6.413
0.0152 0.01508 9.00000 2.3081705570 2.5796582699    2.299  3.255  3.5699  0.776    7  0.000  0.365    42.67    25.91    17.57    13.36    10.94  3    -1e-08      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.367 -5.102 -5.905 -6.162 -6.273 -6.119 -6.216 -6.294 -6.479 -10.981 -14.414 -6.254 -6.111 -6.330 -6.430
0.0152 0.01508 9.00000 2.3081717491 2.5796582699    2.299  3.254  3.5700  0.778    7  0.000  0.365    42.55    25.84    17.53    13.33    10.91  3 -9.95e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.365 -5.099 -5.902 -6.158 -6.269 -6.116 -6.212 -6.290 -6.476 -10.978 -14.411 -6.250 -6.108 -6.327 -6.426
0.0152 0.01508 9.00000 2.3081722260 2.5796582699    2.299  3.253  3.5700  0.778    7  0.000  0.365    42.48    25.81    17.51    13.31    10.90  3 -9.93e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.363 -5.098 -5.900 -6.157 -6.268 -6.114 -6.211 -6.288 -6.474 -10.976 -14.409 -6.249 -6.107 -6.325 -6.424
0.0152 0.01508 9.00000 2.3081724644 2.5796582699    2.299  3.253  3.5700  0.779    7  0.000  0.365    42.44    25.79    17.49    13.30    10.89  3 -9.91e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.363 -5.097 -5.899 -6.156 -6.267 -6.113 -6.210 -6.287 -6.473 -10.975 -14.408 -6.247 -6.105 -6.324 -6.423
0.0152 0.01508 9.00000 2.3081727028 2.5796582699    2.299  3.253  3.5701  0.779    7  0.000  0.365    42.43    25.78    17.49    13.30    10.88  3  -9.9e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.362 -5.096 -5.899 -6.155 -6.266 -6.112 -6.209 -6.287 -6.473 -10.974 -14.407 -6.247 -6.105 -6.324 -6.423
0.0152 0.01508 9.00000 2.3081729412 2.5796582699    2.299  3.253  3.5701  0.779    7  0.000  0.365    42.41    25.77    17.48    13.29    10.88  3  -9.9e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.362 -5.096 -5.898 -6.155 -6.266 -6.112 -6.209 -6.286 -6.472 -10.974 -14.407 -6.247 -6.105 -6.323 -6.422
0.0152 0.01508 9.00000 2.3081731796 2.5796582699    2.299  3.253  3.5700  0.779    7  0.000  0.365    42.44    25.78    17.49    13.30    10.89  3  -9.9e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.362 -5.097 -5.899 -6.155 -6.266 -6.113 -6.209 -6.287 -6.473 -10.975 -14.407 -6.247 -6.105 -6.324 -6.423
0.0152 0.01508 9.00000 2.3081734180 2.5796582699    2.299  3.253  3.5700  0.778    7  0.000  0.365    42.50    25.82    17.51    13.32    10.90  3 -9.93e-09      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.364 -5.098 -5.901 -6.157 -6.268 -6.114 -6.211 -6.289 -6.475 -10.976 -14.409 -6.249 -6.107 -6.325 -6.425
0.0152 0.01508 9.00000 2.3081746101 2.5796582699    2.299  3.256  3.5698  0.775    7  0.000  0.365    42.76    25.96    17.61    13.39    10.96  3    -1e-08      0.00 6.770e-01 3.074e-01 1.682e-03 2.415e-03 6.137e-03 -1.000 1.561e-02 -3.369 -5.104 -5.907 -6.164 -6.275 -6.121 -6.218 -6.296 -6.482 -10.984 -14.417 -6.256 -6.114 -6.333 -6.432
