 #  ,typed ident ,            identifier             ,         typ          ,                                                                  all types                                                                  ,     coord1 (ICRS|J2000/2000)      ,       pm       ,   plx   ,   radvel   ,  Mag B  ,  Mag V  ,  Mag I  ,  spec. type   ,        morph. type        ,      ang. size      ,#parents,#children,#siblings,#bib
1172,PK 034+02.1 ,PN K 3-13                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,281.3527842551899 +02.0237156528300,  -1.548 -3.912 ,0.1467   ,            ,         ,         ,         ,               ,                           ,0.063 0.063          ,0       ,0        ,0        ,  32
1173,PK 026-01.2 ,PN Pe 2-15                         ,PlanetaryNeb          ,PlanetaryNeb|Star                                                                                                                            ,281.364758 -06.949286              ,                ,         ,            ,         ,         ,         ,               ,                           ,0.043 0.043          ,0       ,0        ,0        ,  25
1174,PK 026-01.1 ,PN K 4-5                           ,PlanetaryNeb          ,PlanetaryNeb|Infrared                                                                                                                        ,281.402729 -06.311133              ,                ,         ,            ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  22
1175,PK 013-07.1 ,PN PC 21                           ,PlanetaryNeb          ,PlanetaryNeb|Star|Galaxy|Infrared                                                                                                            ,281.396729 -20.582867              ,                ,         ,42          ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  31
1176,PK 002-13.1 ,IC 4776                            ,PlanetaryNeb          ,PlanetaryNeb|cmRad|PlanetaryNeb|Star|Galaxy|Infrared|Radio                                                                                   ,281.461271 -33.342811              ,      -7.9 -2.0 ,         ,18.9        ,11.98    ,10.62    ,         ,[WC]pec        ,                           ,0.117 0.117          ,0       ,0        ,0        , 193
1177,PK 019-05.1 ,PN M 1-61                          ,PlanetaryNeb          ,PlanetaryNeb|cmRad|Star|Infrared|Radio                                                                                                       ,281.47967 -14.46053                ,                ,         ,31          ,         ,         ,         ,               ,                           ,0.03030300 0.03020867,0       ,0        ,0        , 105
1178,PK 025-02.1 ,PN Pe 1-15                         ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,281.6014645479600 -07.2430762655300,   -1.533 0.219 ,0.2761   ,            ,         ,         ,         ,               ,                           ,0.083 0.083          ,0       ,0        ,0        ,  47
1179,PK 024-02.1 ,PN M 2-46                          ,PlanetaryNeb          ,PlanetaryNeb|Star|Infrared                                                                                                                   ,281.64421 -08.46725                ,                ,         ,66.7        ,         ,         ,         ,               ,                           ,0.073 0.073          ,0       ,0        ,0        ,  65
1180,PK 011-09.1 ,PN H 2-48                          ,PlanetaryNeb          ,PlanetaryNeb|cmRad|EmLine*|PlanetaryNeb|EmObj|Star|Galaxy|Infrared|PlanetaryNeb_Candidate|Radio                                              ,281.6463260198200 -23.4467392968900,   4.865 -5.508 ,0.2121   ,3           ,         ,13       ,         ,OIII-V         ,                           ,                     ,0       ,0        ,0        ,  84
1181,PK 022-04.1 ,EM* AS 321                         ,PlanetaryNeb          ,EmLine*|PlanetaryNeb|EmLine*|PlanetaryNeb|Star|Infrared|PlanetaryNeb_Candidate                                                               ,281.7666073314800 -11.6866534632000,  -2.062 -5.138 ,0.1121   ,            ,15.47    ,14.67    ,13.86    ,               ,                           ,                     ,0       ,0        ,0        ,  31
