name,N_obs
HIP 115648,4
HIP 105341,4
HIP 106147,4
HIP 109638,4
HIP 114719,4
HIP 1842,4
HIP 113244,4
HIP 114954,4
HIP 56244,4
HIP 14031,4
HIP 18280,4
HIP 90261,4
HIP 112703,4
HIP 19948,4
HIP 4824,4
HIP 118086,4
HIP 86707,4
HIP 114427,4
HIP 107758,4
Gaia DR3 2830099469122381056,3
HIP 12749,3
HIP 114233,3
HIP 20917,3
HIP 111802,3
HIP 100923,3
HIP 99699,3
HIP 17405,3
HIP 77349,3
HIP 108380,3
HIP 13079,3
HIP 92417,3
HIP 117886,3
HIP 74261,3
HIP 110400,3
HIP 95071,2
HIP 11558,2
HIP 50156,2
HIP 80300,2
HIP 1412,2
HIP 49544,2
HIP 58321,2
HIP 14555,2
HIP 93069,2
HIP 58114,2
HIP 108523,2
HIP 63510,2
HIP 103388,2
HIP 17414,2
HIP 92656,2
HIP 1276,2
HIP 50267,2
HIP 99550,2
HIP 15360,2
HIP 26369,2
HIP 46087,2
HIP 19832,2
HIP 33499,2
HIP 23452,2
Gaia DR3 4115729652086722560,1
HIP 107705,1
HIP 106255,1
HIP 101844,1
HIP 111766,1
HIP 25953,1
HIP 15300,1
HIP 15720,1
HIP 17609,1
HIP 112452,1
HIP 46706,1
HIP 43948,1
HIP 7170,1
HIP 11964,1
HIP 114252,1
HIP 84277,1
HIP 109756,1
HIP 80383,1
HIP 113605,1
HIP 22738,1
HIP 48477,1
HIP 31634,1
HIP 19316,1
HIP 113602,1
HIP 79431,1
HIP 3556,1
HIP 1720,1
HIP 19834,1
HIP 26844,1
HIP 48502,1
HIP 16548,1
HIP 116936,1
HIP 20605,1
HIP 6005,1
HIP 115099,1
HIP 92871,1
HIP 102141,1
HIP 19862,1
HIP 107317,1
HIP 82817,1
HIP 26081,1
